toponym,offset
SINGAPORE,0
HONG KONG,1
PACIFIC OCEAN,2
SAN FRANCISCO,3
PACIFIC,4
LONDON,5
"Burlington
Gardens",6
London,7
London,8
London,9
Saville Row,10
Saville Row,11
Saville Row,12
Paris,13
France,14
England,15
United Kingdom,16
Saville Row,17
London,18
Leroy,19
Paris,20
England,21
Saville Row,22
Saville Row,23
"Pall
Mall",24
Cheshire,25
Pall Mall,26
America,27
Glasgow,28
Brindisi,29
New York,30
London,31
Rothal,32
Allahabad,33
"Great Indian
Peninsula Railway",34
London,35
Brindisi,36
Bombay,37
Bombay,38
Calcutta,39
Calcutta,40
Hong Kong,41
Hong Kong,42
Yokohama,43
Japan,44
Yokohama,45
San Francisco,46
San Francisco,47
New York,48
New York,49
London,50
London,51
Saville,52
Dover,53
Calais,54
Calais,55
France,56
Paris,57
Paris,58
Paris,59
London,60
Sydenham,61
London,62
West End,63
England,64
Alabama,65
Europe,66
India,67
United States,68
England,69
Albemarle,70
London,71
Scotland,72
Bombay,73
Mongolia,74
Peninsular,75
Mongolia,76
Brindisi,77
Bombay,78
Suez Canal,79
Brindisi,80
Bombay,81
England,82
India,83
Cape,84
England,85
London,86
Mongolia,87
"Port
Said",88
Mongolia,89
Brindisi,90
Brindisi,91
Mongolia,92
Aden,93
Red Sea,94
Bombay,95
Asia,96
India,97
London,98
Mongolia,99
London,100
India,101
Atlantic,102
Mongolia,103
Scotland Yard,104
Mongolia,105
London,106
London,107
Mongolia,108
London,109
Paris,110
Paris,111
Turin,112
Turin,113
Brindisi,114
Mongolia,115
Paris,116
Brindisi,117
Bombay,118
Calcutta,119
Singapore,120
Hong Kong,121
Yokohama,122
San Francisco,123
New York,124
London,125
Egypt,126
Egypt,127
Africa,128
Africa,129
Africa,130
Paris,131
Paris,132
London,133
London,134
Mongolia,135
Bombay,136
London,137
London,138
London,139
Bombay,140
Bombay,141
Bombay,142
India,143
Asia,144
London,145
London,146
Bombay,147
Mongolia,148
India,149
London,150
Mongolia,151
Aden,152
Mongolia,153
Brindisi,154
India,155
Bombay,156
Calcutta,157
Bombay,158
Mongolia,159
Red Sea,160
Mongolia,161
Mongolia,162
Red Sea,163
Mongolia,164
