toponym,offset,latitude,longitude
HONG KONG,1,22.28552,114.15769
SAN FRANCISCO,3,37.77493,-122.41942
PACIFIC,4,38.482,-90.74152
LONDON,5,51.5072648,-0.1278328
London,7,51.5072648,-0.1278328
London,8,51.5072648,-0.1278328
London,9,51.5072648,-0.1278328
Paris,13,48.85341,2.3488
France,14,46.0,2.0
England,15,52.16045,-0.70312
United Kingdom,16,54.75844,-2.69531
London,18,51.5072648,-0.1278328
Leroy,19,31.50461,-87.98472
Paris,20,48.85341,2.3488
England,21,52.16045,-0.70312
Cheshire,25,53.166667,-2.583333
Pall Mall,26,36.55062,-84.96772
America,27,39.76,-98.5
Glasgow,28,55.861147,-4.2499891
Brindisi,29,40.62773,17.93682
New York,30,40.714269,-74.005973
London,31,51.5072648,-0.1278328
Allahabad,33,25.44894,81.83328
London,35,51.5072648,-0.1278328
Brindisi,36,40.62773,17.93682
Bombay,37,19.07283,72.88261
Bombay,38,19.07283,72.88261
Calcutta,39,22.56263,88.36304
Calcutta,40,22.56263,88.36304
Hong Kong,41,22.28552,114.15769
Hong Kong,42,22.28552,114.15769
Yokohama,43,35.44778,139.6425
Japan,44,35.68536,139.75309
Yokohama,45,35.44778,139.6425
San Francisco,46,37.77493,-122.41942
San Francisco,47,37.77493,-122.41942
New York,48,40.714269,-74.005973
New York,49,40.714269,-74.005973
London,50,51.5072648,-0.1278328
London,51,51.5072648,-0.1278328
Calais,54,50.9581,1.85205
Calais,55,50.9581,1.85205
France,56,46.0,2.0
Paris,57,48.85341,2.3488
Paris,58,48.85341,2.3488
Paris,59,48.85341,2.3488
London,60,51.5072648,-0.1278328
London,62,51.5072648,-0.1278328
West End,63,26.70138,-78.99638
England,64,52.16045,-0.70312
Alabama,65,32.75041,-86.75026
India,67,20.0,77.0
United States,68,39.76,-98.5
England,69,52.16045,-0.70312
London,71,51.5072648,-0.1278328
Scotland,72,56.0,-4.0
Bombay,73,19.07283,72.88261
Mongolia,74,46.0,105.0
Mongolia,76,46.0,105.0
Brindisi,77,40.62773,17.93682
Bombay,78,19.07283,72.88261
Brindisi,80,40.62773,17.93682
Bombay,81,19.07283,72.88261
England,82,52.16045,-0.70312
India,83,20.0,77.0
England,85,52.16045,-0.70312
London,86,51.5072648,-0.1278328
Mongolia,87,46.0,105.0
Mongolia,89,46.0,105.0
Brindisi,90,40.62773,17.93682
Brindisi,91,40.62773,17.93682
Mongolia,92,46.0,105.0
Aden,93,12.77944,45.03667
Red Sea,94,27.18624,33.78845
Bombay,95,19.07283,72.88261
India,97,20.0,77.0
London,98,51.5072648,-0.1278328
Mongolia,99,46.0,105.0
London,100,51.5072648,-0.1278328
India,101,20.0,77.0
Mongolia,103,46.0,105.0
