toponym,offset
United States,0
"United
States",1
Cana,2
Grushenka,3
Petersburg,4
Petersburg,5
Petersburg,6
Moscow,7
Paris,8
Russia,9
Paris,10
Paris,11
Moscow,12
Paris,13
Moscow,14
Caucasus,15
Moscow,16
Russia,17
Paris,18
Moscow,19
Zossima,20
Italy,21
Russia,22
Odessa,23
Odessa,24
East,25
Sinai,26
Russia,27
Russia,28
East,29
Russia,30
Kozelski Optin Monastery,31
Russia,32
Syria,33
Egypt,34
Jerusalem,35
Siberia,36
Constantinople,37
Caucasus,38
Russia,39
Alyosha,40
Zurich,41
Tula,42
Zossima,43
Rome,44
china,45
Rakitin,46
Paris,47
Russia,48
Russia,49
Irkutsk,50
Siberia,51
Vyshegorye,52
Alyosha,53
Obdorsk,54
Europe,55
earth,56
Rome,57
Europe,58
Rome,59
Rome,60
Rome,61
Rakitin,62
Paris,63
Paris,64
Alyosha,65
Russia,66
Grushenka,67
Grushenka,68
Grushenka,69
Petersburg,70
Petersburg,71
Neva,72
Petersburg,73
Grushenka,74
Grushenka,75
Petersburg,76
Moscow,77
Marfa,78
Moscow,79
Marfa,80
Marfa,81
Moscow,82
Marfa,83
Marfa,84
Marfa,85
Lizaveta,86
Petersburg,87
Marfa,88
Marfa,89
Marfa,90
Petersburg,91
Marfa,92
Rakitin,93
Ceres,94
Mother Earth,95
Ceres,96
Grushenka,97
Moscow,98
Moscow,99
Moscow,100
Moscow,101
Moscow,102
Moscow,103
Grushenka,104
Mokroe,105
Grushenka,106
Moscow,107
Mokroe,108
Grushenka,109
Foma,110
Foma,111
Tchermashnya,112
Marfa,113
Marfa,114
Dikanka,115
Marfa,116
Marfa,117
Moscow,118
Moscow,119
Moscow,120
Moscow,121
Marfa,122
Jerusalem,123
Asia,124
Marfa,125
Russia,126
Russia,127
Russia,128
Russia,129
Russia,130
Russia,131
Mokroe,132
Mokroe,133
Russia,134
Tchermashnya,135
Tchermashnya,136
Grushenka,137
Alyosha,138
Grushenka,139
Grushenka,140
Moscow,141
Moscow,142
Moscow,143
Grushenka,144
Moscow,145
Mokroe,146
Moscow,147
Irkutsk,148
Siberia,149
Ekaterinenburg,150
Russia,151
St. Sylvester,152
Obdorsk,153
Madame Hohlakov,154
Obdorsk,155
Obdorsk,156
St. Sylvester,157
Laodicean,158
Obdorsk,159
Alyosha,160
Marfa,161
Grushenka,162
Tchermashnya,163
Mihailovsky Street,164
Moscow,165
"Mihailovsky
Street",166
Mihailovsky Street,167
Moscow,168
Moscow,169
Moscow,170
Moscow,171
Agafya,172
Moscow,173
"Lake
Street",174
Lake Street,175
Lake Street,176
Grushenka,177
Foma,178
Lake Street,179
Alyosha,180
Petersburg,181
Neva,182
Ilusha,183
Krassotkin,184
Krassotkin,185
Ilusha,186
Russia,187
Petersburg,188
Petersburg,189
Alyosha,190
Moscow,191
Moscow,192
Alyosha,193
Foma,194
Grushenka,195
Foma,196
Moscow,197
Marfa,198
Moscow,199
Russia,200
Russia,201
Russia,202
Petrovka,203
Moscow,204
Moscow,205
Lake Street,206
Moscow,207
Moscow,208
Europe,209
Russia,210
Russia,211
Euclid,212
Euclid,213
Euclid,214
Moscow,215
Bulgaria,216
Geneva,217
Geneva,218
Geneva,219
Nekrassov,220
Nekrassov,221
France,222
"Notre Dame de
Paris",223
Hôtel de Ville,224
Paris,225
Louis,226
Moscow,227
Germany,228
Russia,229
Spain,230
Seville,231
Grand Inquisitor,232
Seville,233
Seville,234
Seville,235
Rome,236
Cæsar,237
Cæsar,238
Cæsar,239
Babel,240
Rome,241
Rome,242
Rome,243
America,244
Alyosha,245
Smerdyakov,246
Smerdyakov,247
Tchermashnya,248
Marfa Ignatyevna,249
Grushenka,250
Tchermashnya,251
Moscow,252
Moscow,253
Tchermashnya,254
Tchermashnya,255
Moscow,256
Tchermashnya,257
Moscow,258
Moscow,259
Tchermashnya,260
Volovya,261
Moscow,262
Tchermashnya,263
Ilyinskoe,264
Venice,265
Venice,266
Venice,267
Volovya,268
Marfa,269
Tchermashnya,270
Volovya,271
Volovya,272
Tchermashnya,273
Tchermashnya,274
Tchermashnya,275
Moscow,276
Moscow,277
Marfa Ignatyevna,278
Russia,279
Kostroma,280
Vishegorye,281
Moscow,282
Petersburg,283
Petersburg,284
Petersburg,285
Petersburg,286
Laban,287
Egypt,288
Egypt,289
Egypt,290
Russia,291
Petersburg,292
K.,293
Moscow,294
Petersburg,295
Siberia,296
Russia,297
East,298
Russia,299
Russia,300
Russia,301
Russia,302
Europe,303
Russia,304
Russia,305
Obdorsk,306
Obdorsk,307
Athos,308
Obdorsk,309
Obdorsk,310
Obdorsk,311
Providence,312
Providence,313
Rakitin,314
Rakitin,315
Moscow,316
Grushenka,317
Grushenka,318
Rakitin,319
Grushenka,320
Grushenka,321
Grushenka,322
Rakitin,323
Fenya,324
Fenya,325
Mokroe,326
Grushenka,327
Grushenka,328
Alyosha,329
Grushenka,330
Grushenka,331
Siberia,332
Cana,333
Galilee,334
Cana,335
Galilee,336
Cana,337
Galilee,338
Cana,339
Galilee,340
Grushenka,341
Grushenka,342
Grushenka,343
Siberia,344
Russia,345
Siberia,346
Grushenka,347
Grushenka,348
Tchermashnya,349
Tchermashnya,350
Ilyinskoe,351
Volovya,352
Grushenka,353
Volovya,354
Volovya,355
Volovya,356
Ilyinskoe,357
Lyagavy,358
Volovya,359
Volovya,360
Grushenka,361
Grushenka,362
Rakitin,363
Grushenka,364
Moscow,365
Volovya,366
Kiev,367
Siberia,368
Miüsov,369
Dmitrovsky Street,370
Fenya,371
Fenya,372
Fenya,373
Fenya,374
Grushenka,375
Fenya,376
Fenya,377
Fenya,378
Fenya,379
Mokroe,380
Fenya,381
Siberia,382
Mokroe,383
Petersburg,384
Grushenka,385
Siberia,386
Mokroe,387
Fenya,388
Mokroe,389
Tcherny,390
Arina,391
Grushenka,392
Grushenka,393
Siberia,394
Grushenka,395
Uhlan,396
Poland,397
Grushenka,398
Grushenka,399
Poland,400
Poland,401
Smolensk,402
Uhlan,403
Russia,404
Poland,405
Poland,406
Poland,407
Poland,408
Russia,409
Russia,410
Russia,411
Russia,412
Russia,413
Warsaw,414
Grushenka,415
Mitya,416
Grushenka,417
Grushenka,418
Siberia,419
Grushenka,420
Poland,421
Poland,422
Poland,423
Grusha,424
Katya,425
Siberia,426
Siberia,427
Siberia,428
Fenya,429
Fenya,430
Petersburg,431
Russia,432
Petersburg,433
Marfa,434
Marfa,435
Marfa,436
Marfa,437
Marfa,438
Marfa,439
Foma,440
Foma,441
Foma,442
Grusha,443
Petersburg,444
Grushenka,445
Siberia,446
Moscow,447
Mokroe,448
Mokroe,449
Siberia,450
Fenya,451
Siberia,452
Fenya,453
Mokroe,454
Siberia,455
Mokroe,456
Mokroe,457
Tchermashnya,458
Mokroe,459
Grusha,460
Kolya,461
Kolya,462
Moscow,463
Kolya,464
Kolya,465
Smaragdov,466
Kolya,467
Orenburg,468
Tashkend,469
Perezvon,470
Agafya,471
Ilusha,472
Zhutchka,473
Kolya,474
Kolya,475
Kolya,476
Kolya,477
Kolya,478
Kolya,479
Kolya,480
Kolya,481
Zhutchka,482
Ilusha,483
Ilusha,484
Ilusha,485
Krassotkin,486
Ilusha,487
Ilusha,488
Petersburg,489
Ilusha,490
Moscow,491
Moscow,492
Kolya,493
Ilusha,494
Kolya,495
Kolya,496
Zhutchka,497
Ilusha,498
Ilusha,499
Kolya,500
Kolya,501
Perezvon,502
Moscow,503
Ilusha,504
Ilusha,505
Krassotkin,506
Ilusha,507
Kolya,508
Kolya,509
Ilusha,510
Krassotkin,511
Ilusha,512
Kolya,513
Kolya,514
Perezvon,515
Ilusha,516
America,517
America,518
America,519
Russia,520
Syracuse,521
Sicily,522
Sicily,523
Caucasus,524
Caucasus,525
Caucasus,526
Paris,527
Perezvon,528
Kolya,529
Kolya,530
Syracuse,531
Alyosha,532
Jerusalem,533
Jerusalem,534
Jerusalem,535
Grushenka,536
Mokroe,537
Fenya,538
Fenya,539
Maximushka,540
Maximushka,541
Fenya,542
Mokroe,543
Grushenka,544
Fenya,545
Moscow,546
Petersburg,547
Moscow,548
Russia,549
Siberia,550
Siberia,551
Moscow,552
Mitya,553
Moscow,554
Siberia,555
Siberia,556
Moscow,557
Petersburg,558
Russia,559
Siberia,560
Rakitin,561
Moscow,562
Glafira,563
Grushenka,564
Grushenka,565
Mokroe,566
Petersburg,567
Petersburg,568
Petersburg,569
Mokroe,570
Grusha,571
Grusha,572
Grusha,573
Grusha,574
America,575
Grusha,576
Grusha,577
Siberia,578
Grusha,579
America,580
America,581
America,582
