toponym,offset,latitude,longitude
United States,0,39.76,-98.5
"United
States",1,38.0,-97.0
Cana,2,36.58958,-80.67173
Petersburg,4,59.89444,30.26417
Petersburg,5,59.89444,30.26417
Petersburg,6,59.89444,30.26417
Moscow,7,55.75,37.5
Paris,8,48.85341,2.3488
Russia,9,60.0,100.0
Paris,10,48.85341,2.3488
Paris,11,48.85341,2.3488
Moscow,12,55.75,37.5
Paris,13,48.85341,2.3488
Moscow,14,55.75,37.5
Moscow,16,55.75,37.5
Russia,17,60.0,100.0
Paris,18,48.85341,2.3488
Moscow,19,55.75,37.5
Italy,21,42.83333,12.83333
Russia,22,60.0,100.0
Odessa,23,46.47747,30.73262
Odessa,24,46.47747,30.73262
East,25,27.23998,87.14802
Sinai,26,44.24441,-97.04089
Russia,27,60.0,100.0
Russia,28,60.0,100.0
East,29,27.23998,87.14802
Russia,30,60.0,100.0
Russia,32,60.0,100.0
Syria,33,35.0,38.0
Egypt,34,27.0,30.0
Jerusalem,35,31.76904,35.21633
Siberia,36,9.54944,-83.71296
Constantinople,37,41.01384,28.94966
Russia,39,60.0,100.0
Zurich,41,47.36667,8.55
Tula,42,54.20213,37.64429
Rome,44,41.89474,12.4839
china,45,35.0,105.0
Paris,47,48.85341,2.3488
Russia,48,60.0,100.0
Russia,49,60.0,100.0
Irkutsk,50,52.29778,104.29639
Siberia,51,9.54944,-83.71296
earth,56,34.23314,-102.41075
Rome,57,41.89474,12.4839
Rome,59,41.89474,12.4839
Rome,60,41.89474,12.4839
Rome,61,41.89474,12.4839
Paris,63,48.85341,2.3488
Paris,64,48.85341,2.3488
Russia,66,60.0,100.0
Petersburg,70,59.89444,30.26417
Petersburg,71,59.89444,30.26417
Petersburg,73,59.89444,30.26417
Petersburg,76,59.89444,30.26417
Moscow,77,55.75,37.5
Marfa,78,30.30794,-104.01907
Moscow,79,55.75,37.5
Marfa,80,30.30794,-104.01907
Marfa,81,30.30794,-104.01907
Moscow,82,55.75,37.5
Marfa,83,30.30794,-104.01907
Marfa,84,30.30794,-104.01907
Marfa,85,30.30794,-104.01907
Petersburg,87,59.89444,30.26417
Marfa,88,30.30794,-104.01907
Marfa,89,30.30794,-104.01907
Marfa,90,30.30794,-104.01907
Petersburg,91,59.89444,30.26417
Marfa,92,30.30794,-104.01907
Ceres,94,37.59493,-120.95771
Ceres,96,37.59493,-120.95771
Moscow,98,55.75,37.5
Moscow,99,55.75,37.5
Moscow,100,55.75,37.5
Moscow,101,55.75,37.5
Moscow,102,55.75,37.5
Moscow,103,55.75,37.5
Moscow,107,55.75,37.5
Marfa,113,30.30794,-104.01907
Marfa,114,30.30794,-104.01907
Dikanka,115,49.82501,34.52787
Marfa,116,30.30794,-104.01907
Marfa,117,30.30794,-104.01907
Moscow,118,55.75,37.5
Moscow,119,55.75,37.5
Moscow,120,55.75,37.5
Moscow,121,55.75,37.5
Marfa,122,30.30794,-104.01907
Jerusalem,123,31.76904,35.21633
Marfa,125,30.30794,-104.01907
Russia,126,60.0,100.0
Russia,127,60.0,100.0
Russia,128,60.0,100.0
Russia,129,60.0,100.0
Russia,130,60.0,100.0
Russia,131,60.0,100.0
Russia,134,60.0,100.0
Moscow,141,55.75,37.5
Moscow,142,55.75,37.5
Moscow,143,55.75,37.5
Moscow,145,55.75,37.5
Moscow,147,55.75,37.5
Irkutsk,148,52.29778,104.29639
Siberia,149,9.54944,-83.71296
Russia,151,60.0,100.0
St. Sylvester,152,51.483,11.972
