toponym,offset
San Diego,0
Arctic,1
Santa Clara Valley,2
St. Bernard,3
Frisco,4
San Francisco,5
Seattle,6
Newfoundland,7
Seattle,8
Spitzbergen,9
"Charlotte
Sound",10
Lake Bennett,11
Northland,12
Buck,13
Lake Le Barge,14
Dyea,15
Dyea,16
Big Salmon,17
"Santa
Clara Valley",18
Yukon Trail,19
Dyea,20
Yukon,21
Spitz,22
Tahkeena,23
Spitzbergen,24
Arctic,25
Canada,26
Lake Le Barge,27
White Pass,28
Skaguay,29
Skaguay,30
Santa Clara Valley,31
Yukon,32
Skaguay,33
Skaguay,34
Skaguay,35
Hudson Bay,36
States,37
Skaguay,38
Long Trail,39
Rink Rapids,40
Newfoundland,41
Newfoundland,42
Koona,43
White River,44
White River,45
Alaska,46
Santa Clara Valley,47
Circle City,48
Alaska,49
Forty-Mile Creek,50
Manila,51
Dawson,52
East,53
Eldorado Saloon,54
Eldorado,55
East,56
Northland,57
Yukon,58
Stewart River,59
East,60
St. Bernard,61
United States,62
United States,63
United States,64
United States,65
United States,66
United States,67
"United
States",68
United States,69
Mississippi,70
U.S.,71
"Melan Dr. S.
Fairbanks",72
Salt Lake City,73
UT,74
"United
States",75
United States,76
U.S.,77
U.S.,78
