toponym,offset,latitude,longitude
San Diego,0,32.71533,-117.15726
Frisco,4,37.77493,-122.41942
San Francisco,5,37.77493,-122.41942
Seattle,6,47.60621,-122.33207
Newfoundland,7,52.0,-56.0
Seattle,8,47.60621,-122.33207
Northland,12,-35.5,174.0
Buck,13,39.8726,-76.22885
Yukon Trail,19,60.1734,-129.0159
Yukon,21,62.99962,-135.00404
Canada,26,60.10867,-113.64258
Yukon,32,62.99962,-135.00404
Hudson Bay,36,52.85003,-102.38425
Newfoundland,41,52.0,-56.0
Newfoundland,42,52.0,-56.0
White River,44,-25.33177,31.01166
White River,45,-25.33177,31.01166
Alaska,46,64.00028,-150.00028
Alaska,49,64.00028,-150.00028
Manila,51,14.6042,120.9822
Dawson,52,31.7735,-84.44658
East,53,27.23998,87.14802
East,56,27.23998,87.14802
Northland,57,-35.5,174.0
Yukon,58,62.99962,-135.00404
East,60,27.23998,87.14802
United States,62,39.76,-98.5
United States,63,39.76,-98.5
United States,64,39.76,-98.5
United States,65,39.76,-98.5
United States,66,39.76,-98.5
United States,67,39.76,-98.5
"United
States",68,38.0,-97.0
United States,69,39.76,-98.5
Mississippi,70,32.75041,-89.75036
U.S.,71,39.76,-98.5
Salt Lake City,73,40.76078,-111.89105
UT,74,39.25024,-111.75103
"United
States",75,38.0,-97.0
United States,76,39.76,-98.5
U.S.,77,39.76,-98.5
U.S.,78,39.76,-98.5
