toponym,offset
LA MANCHA,0
SIERRA MORENA,1
SIERRA MORENA,2
KNIGHT,3
LA MANCHA,4
Stratford,5
New Place,6
Europe,7
London,8
Calderon,9
Spain,10
Galicia,11
Cervatos,12
"Old
Castile",13
Castile,14
Asturias,15
Toledo,16
Toledo,17
Montana,18
Toledo,19
Tagus,20
Toledo,21
San Servan,22
San Servantes,23
San Cervantes,24
Spain,25
Spain,26
Spain,27
Tagus,28
Cervantes,29
Andalusia,30
Estremadura,31
Galicia,32
Portugal,33
Seville,34
Spain,35
Granada,36
Peninsula,37
Andalusia,38
Santiago,39
Corregidor,40
Jerez,41
Granada,42
Alcala de Henares,43
"Santa
Maria",44
Spain,45
Spain,46
Spain,47
Roman Empire,48
Castile,49
Italy,50
Thyrsis,51
Spain,52
Spain,53
Salamanca,54
Madrid,55
Saragossa,56
Toledo,57
Salamanca,58
Seville,59
Salamanca,60
Salamanca,61
Alcala,62
Spain,63
Rome,64
Spain,65
Venice,66
Porte,67
Europe,68
Austria,69
Messina,70
Goletta,71
Tunis,72
Spain,73
Naples,74
Goletta,75
Austria,76
Sicily,77
Algiers,78
Spain,79
Algiers,80
Oran,81
El Dorador,82
Algerines,83
Oran,84
Oran,85
Algiers,86
Algiers,87
Spain,88
Algiers,89
Algiers,90
Constantinople,91
Spain,92
Algiers,93
Spain,94
Portugal,95
Azores,96
Spain,97
Lisbon,98
Esquivias,99
Madrid,100
Seville,101
Toledo,102
Spain,103
Saragossa,104
Granada,105
Seville,106
Paris,107
Seville,108
Triana,109
Seville,110
Madrid,111
Portugal,112
Castile,113
Lisbon,114
Valencia,115
Portugal,116
Lope,117
Valladolid,118
Valladolid,119
Pyrenees,120
Brussels,121
Madrid,122
Italy,123
Milan,124
Brussels,125
Algiers,126
Spain,127
Tarragona,128
Barataria,129
England,130
Spain,131
Andalusia,132
Spain,133
Madrid,134
Barcelona,135
Europe,136
Wakefield,137
Fierabras,138
Spain,139
Spain,140
England,141
London,142
Valencia,143
Brussels,144
Spain,145
Spain,146
Spain,147
Dulcinea,148
Dulcinea,149
"Southern
Europe",150
Spain,151
Spain,152
Peninsula,153
Estremadura,154
Old Castile,155
Manchegan,156
Argamasilla,157
La Mancha,158
Spain,159
Seville,160
Spain,161
Manchegan,162
Madrid,163
Rock Pena Pobre,164
GREECE,165
Miraflores,166
El Toboso,167
London,168
GANDALIN,169
Ovid,170
Spain,171
Lazaril,172
ORLANDO,173
Orlando,174
Spain,175
Aurora,176
Dulcinea,177
Spain,178
Spain,179
Lisbon,180
Flora,181
Ovid,182
La Mancha,183
BEJAR,184
GIBRALEON,185
PUEBLA,186
CAPILLA,187
LA MANCHA,188
La Mancha,189
Palmerin,190
England,191
Phoebus,192
Roncesvalles,193
Gonela,194
Malindrania,195
La Mancha,196
Manchegan,197
La Mancha,198
Puerto Lapice,199
La Mancha,200
Seville,201
Castile,202
San Lucar,203
La Mancha,204
Castile,205
Andalusia,206
Malaga,207
Riaran,208
Seville,209
Valencia,210
Granada,211
San Lucar,212
Toledo,213
Spain,214
Toledo,215
Sanchobienaya,216
La Mancha,217
La Mancha,218
Toledo,219
Murcia,220
Queens,221
Estremadura,222
Guadarrama,223
Mantua,224
Mantua,225
Mantua,226
France,227
Mantua,228
Hurgada,229
Spain,230
Greece,231
Hircania,232
France,233
Spain,234
England,235
Palm of England,236
Portugal,237
Miraguarda,238
Florence,239
Italy,240
Spain,241
Spain,242
Ovid,243
LA MANCHA,244
Spain,245
Puerto Lapice,246
Malaga,247
"Puerto
Lapice",248
St. Benedict,249
Seville,250
St. Benedict,251
St. Benedict,252
La Mancha,253
"El
Toboso",254
Dulcinea,255
Spain,256
"La
Mancha",257
Manchegan,258
Toledo,259
La Mancha,260
Morisco,261
Manchegan,262
El Toboso,263
Mantua,264
Albraca,265
Denmark,266
Crete,267
Salamanca,268
Salamanca,269
England,270
Great Britain,271
Spain,272
Britain,273
Hircania,274
Greece,275
"La
Mancha",276
Catalonia,277
Valencia,278
Palafoxes,279
Nuzas,280
Rocabertis,281
Lunas,282
Alagones,283
Urreas,284
Aragon,285
Manriques,286
Castile,287
Pallas,288
Portugal,289
La Mancha,290
Orlando,291
Laredo,292
La Mancha,293
El Toboso,294
Rome,295
Seville,296
Seville,297
Yanguesan,298
Spain,299
Conde Tomillas,300
Toledo,301
Fierabras,302
Seville,303
Mecca,304
Trapobana,305
Garamantas,306
Pentapolin,307
Silver Bridge,308
Quirocia,309
Carcajona,310
"New
Biscay",311
Utrique,312
Nerbia,313
"Massilian
plains",314
Arabia Felix,315
Jerez,316
Apennine,317
Europe,318
Laguna,319
Baeza,320
Segovia,321
Baeza,322
Segovia,323
La Mancha,324
La Mancha,325
Phoenix,326
LA MANCHA,327
France,328
Belianises,329
El Toboso,330
Estremadura,331
Estremadura,332
Kingdom of Portugal,333
Gandalin,334
Gasabal,335
Mambrino,336
Dulcinea,337
Persia,338
Manchegan,339
La Mancha,340
Toledo,341
Spain,342
El Toboso,343
Dulcinea del Toboso,344
Egypt,345
SIERRA MORENA,346
Israel,347
Sierra Morena,348
El Viso,349
Almodovar del Campo,350
Sierra Morena,351
Aurora,352
Almodovar,353
Sierra,354
Andalusia,355
Luscinda,356
Spain,357
Andalusia,358
Luscinda,359
Luscinda,360
Greece,361
Garaya,362
SIERRA MORENA,363
Guisopete,364
Beltenebros,365
Orlando,366
Dulcinea del Toboso,367
Dulcinea del Toboso,368
Phillises,369
Galateas,370
Dulcinea,371
Sierra Morena,372
Dulcinea,373
Roland,374
Roncesvalles,375
Angelica,376
"La
Mancha",377
Dulcinea,378
"Dulcinea
                         Del Toboso",379
"Dulcinea
                       Del Toboso",380
"Dulcinea
                       Del Toboso",381
Dulcinea,382
Dulcinea,383
Dulcinea,384
Sierra,385
Dulcinea,386
Sierra,387
Luscinda,388
Spain,389
Luscinda,390
Luscinda,391
Luscinda,392
La Mancha,393
Andalusia,394
Spain,395
Vellido,396
Ganelon,397
El Toboso,398
Micomicon,399
Guinea,400
Micomicon,401
Valladolid,402
Guinea,403
Micomicon,404
Ethiopia,405
Micomicon,406
Spain,407
Sierra,408
La Mancha,409
Cardenio,410
Cartagena,411
Spain,412
Seville,413
Micomicon,414
Spain,415
Spain,416
La Mancha,417
Osuna,418
Osuna,419
Malaga,420
Chaldee,421
Phoenix,422
Dulcinea,423
El Toboso,424
El Toboso,425
Armenia,426
England,427
El Toboso,428
Portugal,429
Castile,430
Seville,431
Trujillo,432
Estremadura,433
Hircania,434
Thrace,435
Cardenio,436
Hircania,437
Thrace,438
Florence,439
Italy,440
Tuscany,441
Lothario,442
Lothario,443
Lothario,444
Lothario,445
Chloris,446
Lothario,447
Micomicon,448
Cardenio,449
Florence,450
San Giovanni,451
Naples,452
Andalusia,453
Luscinda,454
Cardenio,455
Cardenio,456
Cardenio,457
Luscinda,458
Cardenio,459
Cardenio,460
Providence,461
Luscinda,462
Spain,463
Luscinda,464
Algiers,465
Neptune,466
La Mancha,467
Leon,468
Spain,469
Salamanca,470
Salamanca,471
Seville,472
Alicante,473
Alicante,474
Genoa,475
Milan,476
Piedmont,477
Alessandria,478
Guadalajara,479
Venice,480
Spain,481
Turk,482
Cyprus,483
Austria,484
Italy,485
Genoa,486
Naples,487
Christendom,488
Algiers,489
Constantinople,490
Grand Turk,491
Malta,492
Navarino,493
Christendom,494
Navarino,495
Santa Cruz,496
Constantinople,497
Tunis,498
