toponym,offset,latitude,longitude
KNIGHT,3,17.75525,-64.59403
Stratford,5,41.18454,-73.13317
London,8,51.5072648,-0.1278328
Calderon,9,21.81808,-101.01838
Spain,10,40.0,-4.0
Galicia,11,42.75508,-7.86621
Cervatos,12,42.95568,-4.14735
Castile,14,42.62895,-78.05445
Toledo,16,41.66394,-83.55521
Toledo,17,41.66394,-83.55521
Montana,18,47.00025,-109.75102
Toledo,19,41.66394,-83.55521
Tagus,20,36.27134,-119.36817
Toledo,21,41.66394,-83.55521
Spain,25,40.0,-4.0
Spain,26,40.0,-4.0
Spain,27,40.0,-4.0
Tagus,28,36.27134,-119.36817
Andalusia,30,37.6,-4.5
Estremadura,31,39.0,-6.0
Galicia,32,42.75508,-7.86621
Portugal,33,39.6945,-8.13057
Seville,34,37.38241,-5.97613
Spain,35,40.0,-4.0
Granada,36,37.18817,-3.60667
Peninsula,37,41.24117,-81.55262
Andalusia,38,37.6,-4.5
Santiago,39,-33.45694,-70.64827
Jerez,41,36.68645,-6.13606
Granada,42,37.18817,-3.60667
Alcala de Henares,43,40.48205,-3.35996
Spain,45,40.0,-4.0
Spain,46,40.0,-4.0
Spain,47,40.0,-4.0
Castile,49,42.62895,-78.05445
Italy,50,42.83333,12.83333
Spain,52,40.0,-4.0
Spain,53,40.0,-4.0
Salamanca,54,40.96882,-5.66388
Madrid,55,40.4165,-3.70256
Saragossa,56,41.65606,-0.87734
Toledo,57,41.66394,-83.55521
Salamanca,58,40.96882,-5.66388
Seville,59,37.38241,-5.97613
Salamanca,60,40.96882,-5.66388
Salamanca,61,40.96882,-5.66388
Alcala,62,37.5178,-5.98185
Spain,63,40.0,-4.0
Rome,64,41.89474,12.4839
Spain,65,40.0,-4.0
Venice,66,45.43861,12.32667
Porte,67,44.88714,7.26982
Austria,69,47.33333,13.33333
Messina,70,38.19327,15.54969
Goletta,71,36.81806,10.305
Tunis,72,34.0,9.0
Spain,73,40.0,-4.0
Naples,74,40.83333,14.25
Goletta,75,36.81806,10.305
Austria,76,47.33333,13.33333
Sicily,77,37.75,14.25
Algiers,78,36.7525,3.04197
Spain,79,40.0,-4.0
Algiers,80,36.7525,3.04197
Oran,81,35.69111,-0.64167
Oran,84,35.69111,-0.64167
Oran,85,35.69111,-0.64167
Algiers,86,36.7525,3.04197
Algiers,87,36.7525,3.04197
Spain,88,40.0,-4.0
Algiers,89,36.7525,3.04197
Algiers,90,36.7525,3.04197
Constantinople,91,41.01384,28.94966
Spain,92,40.0,-4.0
Algiers,93,36.7525,3.04197
Spain,94,40.0,-4.0
Portugal,95,39.6945,-8.13057
Spain,97,40.0,-4.0
Lisbon,98,38.71667,-9.13333
Esquivias,99,40.1044,-3.76677
Madrid,100,40.4165,-3.70256
Seville,101,37.38241,-5.97613
Toledo,102,41.66394,-83.55521
Spain,103,40.0,-4.0
Saragossa,104,41.65606,-0.87734
Granada,105,37.18817,-3.60667
Seville,106,37.38241,-5.97613
Paris,107,48.85341,2.3488
Seville,108,37.38241,-5.97613
Triana,109,34.5862,-86.73333
Seville,110,37.38241,-5.97613
Madrid,111,40.4165,-3.70256
Portugal,112,39.6945,-8.13057
Castile,113,42.62895,-78.05445
Lisbon,114,38.71667,-9.13333
Valencia,115,39.46975,-0.37739
Portugal,116,39.6945,-8.13057
Valladolid,118,41.65518,-4.72372
Valladolid,119,41.65518,-4.72372
Brussels,121,50.85045,4.34878
Madrid,122,40.4165,-3.70256
Italy,123,42.83333,12.83333
Milan,124,45.46427,9.18951
Brussels,125,50.85045,4.34878
Algiers,126,36.7525,3.04197
Spain,127,40.0,-4.0
Tarragona,128,41.11667,1.25
Barataria,129,29.72327,-90.12369
England,130,52.16045,-0.70312
Spain,131,40.0,-4.0
Andalusia,132,37.6,-4.5
Spain,133,40.0,-4.0
Madrid,134,40.4165,-3.70256
Barcelona,135,41.38879,2.15899
Wakefield,137,53.6825669,-1.5000466
Spain,139,40.0,-4.0
Spain,140,40.0,-4.0
England,141,52.16045,-0.70312
London,142,51.5072648,-0.1278328
Valencia,143,39.46975,-0.37739
Brussels,144,50.85045,4.34878
Spain,145,40.0,-4.0
Spain,146,40.0,-4.0
Spain,147,40.0,-4.0
Spain,151,40.0,-4.0
Spain,152,40.0,-4.0
Peninsula,153,41.24117,-81.55262
Estremadura,154,39.0,-6.0
Spain,159,40.0,-4.0
Seville,160,37.38241,-5.97613
Spain,161,40.0,-4.0
Madrid,163,40.4165,-3.70256
Rock Pena Pobre,164,18.21551,-65.82211
GREECE,165,39.0,22.0
El Toboso,167,39.51333,-2.99726
London,168,51.5072648,-0.1278328
Ovid,170,43.00586,-84.37164
Spain,171,40.0,-4.0
ORLANDO,173,28.53834,-81.37924
Orlando,174,28.53834,-81.37924
Spain,175,40.0,-4.0
Aurora,176,39.72943,-104.83192
Spain,178,40.0,-4.0
Spain,179,40.0,-4.0
Lisbon,180,38.71667,-9.13333
Ovid,182,43.00586,-84.37164
BEJAR,184,40.38641,-5.76341
GIBRALEON,185,37.37628,-6.96895
PUEBLA,186,19.04334,-98.20193
CAPILLA,187,38.82036,-5.08417
England,191,52.16045,-0.70312
Phoebus,192,37.02154,-76.318
Puerto Lapice,199,39.3236,-3.48148
Seville,201,37.38241,-5.97613
Castile,202,42.62895,-78.05445
Castile,205,42.62895,-78.05445
Andalusia,206,37.6,-4.5
Malaga,207,36.72016,-4.42034
Seville,209,37.38241,-5.97613
Valencia,210,39.46975,-0.37739
Granada,211,37.18817,-3.60667
Toledo,213,41.66394,-83.55521
Spain,214,40.0,-4.0
Toledo,215,41.66394,-83.55521
Toledo,219,41.66394,-83.55521
Murcia,220,37.98704,-1.13004
Estremadura,222,39.0,-6.0
Guadarrama,223,40.6727,-4.08949
Mantua,224,45.16031,10.79784
Mantua,225,45.16031,10.79784
Mantua,226,45.16031,10.79784
France,227,46.0,2.0
Mantua,228,45.16031,10.79784
Hurgada,229,27.25738,33.81291
Spain,230,40.0,-4.0
Greece,231,39.0,22.0
France,233,46.0,2.0
Spain,234,40.0,-4.0
England,235,52.16045,-0.70312
Palm of England,236,52.16045,-0.70312
Portugal,237,39.6945,-8.13057
Florence,239,43.76667,11.25
Italy,240,42.83333,12.83333
Spain,241,40.0,-4.0
Spain,242,40.0,-4.0
Ovid,243,43.00586,-84.37164
Spain,245,40.0,-4.0
Puerto Lapice,246,39.3236,-3.48148
Malaga,247,36.72016,-4.42034
St. Benedict,249,43.03802,-94.0644
Seville,250,37.38241,-5.97613
St. Benedict,251,43.03802,-94.0644
St. Benedict,252,43.03802,-94.0644
Spain,256,40.0,-4.0
Toledo,259,41.66394,-83.55521
El Toboso,263,39.51333,-2.99726
Mantua,264,45.16031,10.79784
Denmark,266,56.0,10.0
Crete,267,35.15585,24.89502
Salamanca,268,40.96882,-5.66388
Salamanca,269,40.96882,-5.66388
England,270,52.16045,-0.70312
Great Britain,271,54.75844,-2.69531
Spain,272,40.0,-4.0
Britain,273,54.75844,-2.69531
Greece,275,39.0,22.0
Catalonia,277,41.82046,1.86768
Valencia,278,39.46975,-0.37739
Aragon,285,41.0,-1.0
Castile,287,42.62895,-78.05445
Portugal,289,39.6945,-8.13057
Orlando,291,28.53834,-81.37924
Laredo,292,27.50641,-99.50754
El Toboso,294,39.51333,-2.99726
Rome,295,41.89474,12.4839
Seville,296,37.38241,-5.97613
Seville,297,37.38241,-5.97613
Spain,299,40.0,-4.0
