toponym,offset,latitude,longitude
BOSTON,0,42.35843,-71.05977
MASSACHUSETTS,1,42.36565,-71.10832
Nantucket,3,41.28346,-70.09946
New Bedford,4,41.63622,-70.9342
New Bedford,5,41.63622,-70.9342
Massachusetts,6,42.36565,-71.10832
Bay State,7,42.36565,-71.10832
United States,8,39.76,-98.5
Ireland,10,53.0,-8.0
Africa,12,35.50472,11.06222
Maryland,13,38.885867,-76.904972
Georgia,14,32.75042,-83.50018
Alabama,15,32.75041,-86.75026
Louisiana,16,31.00047,-92.0004
United States,18,39.76,-98.5
Maryland,19,38.885867,-76.904972
Washington,20,47.50012,-120.50147
BOSTON,21,42.35843,-71.05977
BOSTON,23,42.35843,-71.05977
Chesapeake,25,36.81904,-76.27494
Mississippi,26,32.75041,-89.75036
Massachusetts,28,42.36565,-71.10832
Massachusetts,29,42.36565,-71.10832
United States,30,39.76,-98.5
New England,31,46.53918,-102.86822
Massachusetts,33,42.36565,-71.10832
Easton,34,40.68843,-75.22073
Maryland,36,38.885867,-76.904972
New York City,38,40.742185,-73.992602
Nantucket,40,41.28346,-70.09946
District of Columbia,41,38.91706,-77.00025
United States,42,39.76,-98.5
Haiti,43,19.0,-72.41667
Tuckahoe,44,37.59015,-77.55638
Easton,46,40.68843,-75.22073
Maryland,48,38.885867,-76.904972
Maryland,49,38.885867,-76.904972
Africa,50,35.50472,11.06222
Easton,52,40.68843,-75.22073
Easton,60,40.68843,-75.22073
Annapolis,61,38.97845,-76.49218
Georgia,63,32.75042,-83.50018
St. Michael,64,13.11667,-59.6
Maryland,66,38.885867,-76.904972
Maryland,68,38.885867,-76.904972
St. Michael,69,13.11667,-59.6
England,75,52.16045,-0.70312
Ireland,76,53.0,-8.0
Annapolis,84,38.97845,-76.49218
New England,85,46.53918,-102.86822
Africa,95,35.50472,11.06222
District of Columbia,96,38.91706,-77.00025
Georgia,102,32.75042,-83.50018
Whittier,107,33.97918,-118.03284
Virginia,108,37.54812,-77.44675
"St.
Michael",109,51.483,11.972
St. Michael,110,13.11667,-59.6
Philadelphia,113,39.95234,-75.16379
St. Michael,116,13.11667,-59.6
Maryland,117,38.885867,-76.904972
St. Michael,119,13.11667,-59.6
St. Michael,120,13.11667,-59.6
St. Michael,121,13.11667,-59.6
"St.
Michael",122,51.483,11.972
St. Michael,123,13.11667,-59.6
Delaware,126,39.00039,-75.49992
Pennsylvania,127,40.696298,-77.995133
St. Michael,128,13.11667,-59.6
St. Michael,129,13.11667,-59.6
St. Michael,130,13.11667,-59.6
Canada,132,60.10867,-113.64258
New York,133,40.714269,-74.005973
Maryland,135,38.885867,-76.904972
Maryland,138,38.885867,-76.904972
St. Michael,142,13.11667,-59.6
Easton,143,40.68843,-75.22073
Easton,144,40.68843,-75.22073
Easton,145,40.68843,-75.22073
Alabama,146,32.75041,-86.75026
Alabama,147,32.75041,-86.75026
New York,158,40.714269,-74.005973
"New
York",159,55.0253096,-1.4870706
New York,160,40.714269,-74.005973
New York,161,40.714269,-74.005973
Canada,162,60.10867,-113.64258
New Bedford,163,41.63622,-70.9342
New York,164,40.714269,-74.005973
New York,165,40.714269,-74.005973
Newport,166,51.5882332,-2.9974967
New Bedford,167,41.63622,-70.9342
Newport,168,51.5882332,-2.9974967
New Bedford,169,41.63622,-70.9342
Newport,170,51.5882332,-2.9974967
Newport,171,51.5882332,-2.9974967
New Bedford,172,41.63622,-70.9342
New Bedford,173,41.63622,-70.9342
New Bedford,174,41.63622,-70.9342
New Bedford,175,41.63622,-70.9342
Maryland,176,38.885867,-76.904972
New York,178,40.714269,-74.005973
New Bedford,179,41.63622,-70.9342
New Bedford,180,41.63622,-70.9342
New Bedford,182,41.63622,-70.9342
New Bedford,183,41.63622,-70.9342
Maryland,185,38.885867,-76.904972
Easton,187,40.68843,-75.22073
St. Michael,188,13.11667,-59.6
Maryland,190,38.885867,-76.904972
Maryland,191,38.885867,-76.904972
Talbot county Maryland,192,38.882104,-76.908915
New Bedford,193,41.63622,-70.9342
New Bedford,194,41.63622,-70.9342
New Bedford,195,41.63622,-70.9342
Nantucket,196,41.28346,-70.09946
New Bedford,197,41.63622,-70.9342
Israel,198,31.5,34.75
America,199,39.76,-98.5
America,200,39.76,-98.5
Bashan,201,41.51315,-72.43342
United States,203,39.76,-98.5
United States,204,39.76,-98.5
United States,205,39.76,-98.5
United States,206,39.76,-98.5
United States,207,39.76,-98.5
United States,208,39.76,-98.5
"United
States",209,38.0,-97.0
United States,210,39.76,-98.5
Mississippi,211,32.75041,-89.75036
U.S.,212,39.76,-98.5
Salt Lake City,214,40.76078,-111.89105
UT,215,39.25024,-111.75103
"United
States",216,38.0,-97.0
United States,217,39.76,-98.5
U.S.,218,39.76,-98.5
U.S.,219,39.76,-98.5
