toponym,offset
Euclid,0
Great Britain Street,1
Meath Street,2
Rome,3
Persia,4
Mass,5
Wild West,6
Gardiner Street,7
Wild West,8
Wild West,9
"Canal
Bridge",10
Wharf Road,11
North Strand Road,12
Wharf Road,13
Dublin,14
Ringsend,15
Liffey,16
Vidocq,17
Buckingham Street,18
Westland Row Station,19
Belfast,20
Devines,21
England,22
Melbourne,23
Miss Hill,24
Buenos Ayres,25
Canada,26
Howth,27
Italy,28
North Wall,29
Dublin,30
Naas Road,31
Inchicore,32
Paris,33
Kingstown,34
Dublin,35
Dublin,36
England,37
Cambridge,38
Cambridge,39
France,40
Dame Street,41
Grafton Street,42
Cambridge,43
Grafton Street,44
Kingstown Station,45
Ireland,46
England,47
France,48
Hungary,49
United States of America,50
Rutland Square,51
"Dorset
Street",52
Baggot Street,53
Pim,54
Florentines,55
South Circular,56
Earl Street,57
Nassau Street,58
Kildare Street,59
Merrion Street,60
Hume Street,61
Merrion Square,62
Grafton Street,63
"Rutland
Square",64
Capel Street,65
City Hall,66
Dame Street,67
Westmoreland Street,68
Westmoreland Street,69
"Grafton
Street",70
Merrion Street,71
Baggot Street,72
Spring Gardens,73
Hardwicke Street,74
Liverpool,75
Fleet Street,76
Marlborough Street,77
Dublin,78
London,79
Henrietta Street,80
Dublin,81
Capel Street,82
London,83
Capel Street,84
Dublin,85
Grattan Bridge,86
London,87
London,88
Lithia,89
Dublin,90
London,91
London,92
Paris,93
Paris,94
Paris,95
Paris,96
Paris,97
London,98
Paris,99
Paris,100
Ireland,101
Paris,102
Paris,103
Parisienne,104
London,105
Dublin,106
London,107
London,108
Berlin,109
Dublin,110
Ireland,111
London,112
Grattan Bridge,113
Ireland,114
Eustace Street,115
Ireland,116
Fleet Street,117
Westmoreland Street,118
Tivoli,119
"Poolbeg
Street",120
Tivoli,121
London,122
O'Connell Bridge,123
Sandymount,124
Shelbourne Road,125
Ballsbridge,126
Drumcondra,127
Belfast,128
Belfast,129
Dublin,130
Henry Street,131
Canal Bridge,132
Alphy,133
Chapelizod,134
Dublin,135
Dublin,136
Dublin,137
Baggot Street,138
Chapelizod,139
George's Street,140
Dublin,141
Rotunda,142
"Earlsfort
Terrace",143
Dublin,144
Holland,145
Dublin,146
Dublin,147
Parkgate,148
Chapelizod,149
SYDNEY,150
Dublin Hospital,151
Sydney Parade Station,152
Kingstown,153
Dublin Hospital,154
Leoville,155
Sydney,156
Dublin,157
Rotterdam,158
Chapelizod Bridge,159
County Kildare,160
Dublin,161
Dublin,162
"Kingsbridge
Station",163
Wicklow Street,164
Dublin,165
Suffolk Street,166
Mansion House,167
Dublin,168
Mansion House,169
Dawson Street,170
Dawson Street,171
Dublin,172
England,173
Dublin,174
Howth,175
Brown Thomas,176
Dublin,177
Queen's Theatre,178
London,179
Mansion House,180
Killarney,181
Dublin,182
Dublin,183
Grafton Street,184
Westmoreland Street,185
"Crowe
Street",186
London,187
Dublin Castle,188
Glasnevin,189
Sandymount,190
Glasgow,191
Belfast,192
Thomas Street,193
Midland Railway,194
Vatican,195
Moore Street,196
Glasnevin Road,197
Europe,198
Tenebris,199
Latin,200
Tuam,201
Tuam,202
Gardiner Street,203
Stoney Batter,204
Island,205
Fulham,206
Haddington Road,207
Kingstown,208
Monkstown,209
Gresham,210
Dublin,211
Dublin,212
Balbrigan,213
Monkstown,214
Aran Isles,215
Atlantic,216
France,217
Belgium,218
Germany,219
France,220
Belgium,221
Glasgow,222
Dublin,223
Glasgow,224
Ireland,225
Galway,226
Scotland,227
Wellington,228
Paris,229
Smyrna,230
Theatre Royal,231
Dublin,232
Giuglini,233
Dublin,234
London,235
Paris,236
Milan,237
Mount Melleray,238
Mount Melleray,239
Wellington,240
Dublin,241
Paris,242
Dublin,243
Gabriel,244
"Back
Lane",245
Back Lane,246
Ireland,247
Aughrim,248
Winetavern Street,249
O'Connell Bridge Miss,250
O'Connell Bridge,251
Henry Street,252
Galway,253
Galway,254
Galway,255
Galway,256
Oughterard,257
Galway,258
Dublin,259
Oughterard,260
Ireland,261
Shannon,262
United States,263
United States,264
United States,265
United States,266
United States,267
United States,268
"United
States",269
United States,270
Mississippi,271
U.S.,272
"Melan Dr. S.
Fairbanks",273
Salt Lake City,274
UT,275
"United
States",276
United States,277
U.S.,278
U.S.,279
