toponym,offset,latitude,longitude
Euclid,0,41.5931,-81.52679
Great Britain Street,1,51.12472,-2.74
Rome,3,41.89474,12.4839
Persia,4,32.0,53.0
Liffey,16,-41.66667,146.9
Belfast,20,54.58333,-5.93333
England,22,52.16045,-0.70312
Melbourne,23,-37.814,144.96332
Buenos Ayres,25,-34.61315,-58.37723
Canada,26,60.10867,-113.64258
Howth,27,30.16883,-96.06524
Italy,28,42.83333,12.83333
Paris,33,48.85341,2.3488
England,37,52.16045,-0.70312
Cambridge,38,52.2033051,0.124862
Cambridge,39,52.2033051,0.124862
France,40,46.0,2.0
Cambridge,43,52.2033051,0.124862
Ireland,46,53.0,-8.0
England,47,52.16045,-0.70312
France,48,46.0,2.0
Hungary,49,47.0,20.0
United States of America,50,40.219809,-79.495329
"Dorset
Street",52,51.1238547,-2.7410164
"Rutland
Square",64,54.2166524,-6.0333311
Spring Gardens,73,27.76244,-97.74095
Liverpool,75,53.4054719,-2.9805393
London,79,51.5072648,-0.1278328
London,83,51.5072648,-0.1278328
London,87,51.5072648,-0.1278328
London,88,51.5072648,-0.1278328
Lithia,89,27.8503,-82.17481
London,91,51.5072648,-0.1278328
London,92,51.5072648,-0.1278328
Paris,93,48.85341,2.3488
Paris,94,48.85341,2.3488
Paris,95,48.85341,2.3488
Paris,96,48.85341,2.3488
Paris,97,48.85341,2.3488
London,98,51.5072648,-0.1278328
Paris,99,48.85341,2.3488
Paris,100,48.85341,2.3488
Ireland,101,53.0,-8.0
Paris,102,48.85341,2.3488
Paris,103,48.85341,2.3488
London,105,51.5072648,-0.1278328
London,107,51.5072648,-0.1278328
London,108,51.5072648,-0.1278328
Ireland,111,53.0,-8.0
London,112,51.5072648,-0.1278328
Ireland,114,53.0,-8.0
Ireland,116,53.0,-8.0
Tivoli,119,41.96092,12.79888
Tivoli,121,41.96092,12.79888
London,122,51.5072648,-0.1278328
Belfast,128,54.58333,-5.93333
Belfast,129,54.58333,-5.93333
Chapelizod,134,53.34889,-6.34667
Chapelizod,139,53.34889,-6.34667
Rotunda,142,43.98333,24.31667
Holland,145,52.5,5.75
Parkgate,148,53.29798,-3.08428
Chapelizod,149,53.34889,-6.34667
SYDNEY,150,-33.86785,151.20732
Leoville,155,39.58167,-100.46098
Sydney,156,-33.86785,151.20732
Rotterdam,158,51.9225,4.47917
England,173,52.16045,-0.70312
Howth,175,30.16883,-96.06524
London,179,51.5072648,-0.1278328
Killarney,181,52.05,-9.51667
London,187,51.5072648,-0.1278328
Glasgow,191,55.861147,-4.2499891
Belfast,192,54.58333,-5.93333
Vatican,195,41.90225,12.4533
Tuam,201,53.51667,-8.85
Tuam,202,53.51667,-8.85
Island,205,65.0,-18.0
Monkstown,209,53.29308,-6.15312
Gresham,210,45.49818,-122.43148
Monkstown,214,53.29308,-6.15312
France,217,46.0,2.0
Belgium,218,50.83333,4.0
Germany,219,51.5,10.5
France,220,46.0,2.0
Belgium,221,50.83333,4.0
Glasgow,222,55.861147,-4.2499891
Glasgow,224,55.861147,-4.2499891
Ireland,225,53.0,-8.0
Galway,226,53.27194,-9.04889
Scotland,227,56.0,-4.0
Wellington,228,-41.28664,174.77557
Paris,229,48.85341,2.3488
Smyrna,230,38.41273,27.13838
London,235,51.5072648,-0.1278328
Paris,236,48.85341,2.3488
Milan,237,45.46427,9.18951
Wellington,240,-41.28664,174.77557
Paris,242,48.85341,2.3488
Gabriel,244,-19.7,63.43333
Ireland,247,53.0,-8.0
Aughrim,248,53.30222,-8.3125
O'Connell Bridge Miss,250,57.6589,12.1179
Galway,253,53.27194,-9.04889
Galway,254,53.27194,-9.04889
Galway,255,53.27194,-9.04889
Galway,256,53.27194,-9.04889
Oughterard,257,53.41667,-9.33333
Galway,258,53.27194,-9.04889
Oughterard,260,53.41667,-9.33333
Ireland,261,53.0,-8.0
Shannon,262,52.70389,-8.86417
United States,263,39.76,-98.5
United States,264,39.76,-98.5
United States,265,39.76,-98.5
United States,266,39.76,-98.5
United States,267,39.76,-98.5
United States,268,39.76,-98.5
"United
States",269,38.0,-97.0
United States,270,39.76,-98.5
Mississippi,271,32.75041,-89.75036
U.S.,272,39.76,-98.5
Salt Lake City,274,40.76078,-111.89105
UT,275,39.25024,-111.75103
"United
States",276,38.0,-97.0
United States,277,39.76,-98.5
U.S.,278,39.76,-98.5
U.S.,279,39.76,-98.5
