toponym,offset
Gravesend,0
Deptford,1
Greenwich,2
Erith,3
East India,4
Mediterranean,5
Ravenna,6
Rome,7
London,8
Indian Ocean,9
Pacific,10
China,11
South America,12
Africa,13
Australia,14
Equator,15
East Coast,16
Central Station,17
Europe,18
Gravesend,19
Central Station,20
Europe,21
Europe,22
Central Station,23
Europe,24
Mars,25
Mars,26
Europe,27
Europe,28
Towson,29
Towson,30
England,31
Europe,32
Tambov,33
Towson,34
Jupiter,35
Towson,36
Europe,37
United States,38
United States,39
United States,40
United States,41
United States,42
United States,43
"United
States",44
United States,45
Mississippi,46
U.S.,47
"Melan Dr. S.
Fairbanks",48
Salt Lake City,49
UT,50
"United
States",51
United States,52
U.S.,53
U.S.,54
