toponym,offset,latitude,longitude
Newport,1,51.5882332,-2.9974967
Tuxedo,2,35.22539,-82.42956
Rhinebeck,4,41.92676,-73.91264
New York,6,40.714269,-74.005973
New York,8,40.714269,-74.005973
New York,9,40.714269,-74.005973
Turkey,10,39.05901,34.91155
India,11,20.0,77.0
Richfield Springs,12,42.85341,-74.98543
London,14,51.5072648,-0.1278328
Rosedale,17,39.32011,-76.51552
Rosedale,18,39.32011,-76.51552
Rosedale,20,39.32011,-76.51552
Rosedale,21,39.32011,-76.51552
Yonkers,23,40.93121,-73.89875
New York,28,40.714269,-74.005973
New York,30,40.714269,-74.005973
Newport,36,51.5882332,-2.9974967
Southampton,37,50.9035305,-1.4041996
New York,39,40.714269,-74.005973
Paris,40,48.85341,2.3488
Vatican,42,41.90225,12.4533
New York,43,40.714269,-74.005973
New York,45,40.714269,-74.005973
New Jersey,46,40.16706,-74.49987
India,49,20.0,77.0
America,51,39.76,-98.5
Bertha,52,46.26663,-95.0628
America,58,39.76,-98.5
Dorset,59,50.75,-2.333333
ROSEDALE,60,39.32011,-76.51552
Rosedale,61,39.32011,-76.51552
New York,62,40.714269,-74.005973
Peekskill,68,41.29009,-73.92042
Dorset,71,50.75,-2.333333
Richfield,72,44.8833,-93.283
Rosedale,74,39.32011,-76.51552
Richfield,76,44.8833,-93.283
Rosedale,77,39.32011,-76.51552
ROSEDALE,79,39.32011,-76.51552
Rosedale,82,39.32011,-76.51552
Rosedale,85,39.32011,-76.51552
Rosedale,86,39.32011,-76.51552
Rosedale,87,39.32011,-76.51552
Rosedale,88,39.32011,-76.51552
Rosedale,89,39.32011,-76.51552
Rosedale,90,39.32011,-76.51552
Rosedale,91,39.32011,-76.51552
Rosedale,92,39.32011,-76.51552
Rosedale,93,39.32011,-76.51552
Rosedale,95,39.32011,-76.51552
New York,97,40.714269,-74.005973
Dorset,103,50.75,-2.333333
MILAN,104,45.46427,9.18951
Paris,105,48.85341,2.3488
Neuilly,106,48.8846,2.26965
Silverton,107,45.00512,-122.78315
Rosedale,111,39.32011,-76.51552
Rosedale,113,39.32011,-76.51552
Rosedale,114,39.32011,-76.51552
Rosedale,115,39.32011,-76.51552
Rosedale,116,39.32011,-76.51552
Rosedale,117,39.32011,-76.51552
Dorset,120,50.75,-2.333333
Dorset,122,50.75,-2.333333
Rosedale,125,39.32011,-76.51552
Rosedale,126,39.32011,-76.51552
New York,128,40.714269,-74.005973
Dorset,130,50.75,-2.333333
Dorset,131,50.75,-2.333333
Dorset,132,50.75,-2.333333
Rosedale,133,39.32011,-76.51552
Brooklyn,140,40.6501,-73.94958
Selden,141,40.86649,-73.03566
Rosedale,148,39.32011,-76.51552
Rosedale,149,39.32011,-76.51552
Rosedale,155,39.32011,-76.51552
Rosedale,156,39.32011,-76.51552
Rosedale,159,39.32011,-76.51552
Wellington,160,-41.28664,174.77557
America,162,39.76,-98.5
Aix,166,43.5283,5.44973
Rosedale,168,39.32011,-76.51552
Rosedale,169,39.32011,-76.51552
Rosedale,170,39.32011,-76.51552
Rosedale,171,39.32011,-76.51552
Rosedale,172,39.32011,-76.51552
Havana,173,23.13302,-82.38304
Rosedale,175,39.32011,-76.51552
Selden,176,40.86649,-73.03566
Havana,177,23.13302,-82.38304
New York,180,40.714269,-74.005973
Paris,181,48.85341,2.3488
Paris,184,48.85341,2.3488
Monaco,187,48.13743,11.57549
Sicily,188,37.75,14.25
Dorset,189,50.75,-2.333333
Cannes,190,43.55135,7.01275
Macedonia,191,41.83333,22.0
