toponym,offset
Cabin,0
Goshen,1
Cairo,2
Arkansaw,3
Bridgewater,4
Awful Square,5
England,6
Boston Harbor,7
Missouri,8
Mississippi Valley,9
New Orleans,10
Providence,11
Providence,12
China,13
Jericho,14
Washington,15
Illinois,16
Ohio,17
Island,18
Island,19
Illinois,20
Illinois,21
Missouri,22
Missouri,23
Illinois,24
Orleans,25
Orleans,26
Illinois,27
Illinois,28
Illinois,29
Missouri,30
Missouri,31
Illinois,32
Illinois,33
Mississippi,34
Illinois,35
Hookerville,36
Hookerville,37
Illinois,38
Goshen,39
Goshen,40
Goshen,41
St. Petersburg,42
Goshen,43
Goshen,44
Goshen,45
Goshen,46
Illinois,47
Illinois,48
Missouri,49
Illinois,50
Missouri,51
Missouri,52
St. Louis,53
St. Petersburg,54
St. Louis,55
St. Louis,56
Sollermun,57
France,58
America,59
Cairo,60
Illinois,61
Ohio River,62
Ohio,63
States,64
Cairo,65
Cairo,66
Cairo,67
Cairo,68
Cairo,69
Cairo,70
Cairo,71
Cairo,72
Cairo,73
Cairo,74
Ohio,75
Cairo,76
Arkansaw,77
Philadelphia,78
Whistler,79
Prague,80
Panama,81
Miss Charlotte,82
Grangerfords,83
Mars Jawge,84
Mississippi,85
Bridgewater,86
Bridgewater,87
Dauphin,88
Bilgewater,89
France,90
Pike County,91
Missouri,92
Orleans,93
Orleans,94
Paris,95
Drury Lane,96
London,97
Indian Ocean,98
Indian Ocean,99
Pokeville,100
Indian Ocean,101
St. Jacques,102
New Orleans,103
Handcuffs,104
Highland,105
Dunsinane,106
Arkansaw,107
Drury Lane Theatre,108
London,109
Whitechapel,110
Pudding Lane,111
London,112
Richmond,113
Paris,114
Arkansaw,115
South,116
London,117
Drury Lane,118
Boston Harbor,119
Wellington,120
King Lear,121
Arkansaw,122
Providence,123
Leviticus,124
"St.
Louis",125
Cincinnati,126
Orleans,127
England,128
Sheffield,129
Orleans,130
Wilkses,131
Cincinnati,132
St. Louis,133
Cincinnati,134
Orleans,135
Louisville,136
Providence,137
England,138
England,139
England,140
London,141
Sheffield,142
Sheffield,143
Sheffield,144
England,145
England,146
England,147
Memphis,148
Orleans,149
England,150
England,151
Bricksville,152
England,153
England,154
England,155
Louisville,156
Cincinnati,157
England,158
Pikesville,159
South,160
Providence,161
Pikesville,162
Lafayette,163
South,164
Providence,165
Providence,166
Orleans,167
Newrleans,168
Baton Rouge,169
Providence,170
White River,171
South,172
Hicksville,173
Ohio,174
Hicksville,175
Navarre,176
Europe,177
Marseilles,178
China,179
China,180
New Orleans,181
Jeruslem,182
England,183
Northumberland,184
Mars,185
Jericho,186
Orleans,187
St. Louis,188
New Orleans,189
St. Louis,190
Tooleries,191
"Saint
Louis",192
Spanish Island,193
St. Petersburg,194
Aunt Sally,195
United States,196
United States,197
United States,198
United States,199
United States,200
United States,201
"United
States",202
United States,203
Mississippi,204
U.S.,205
"Melan Dr. S.
Fairbanks",206
Salt Lake City,207
UT,208
"United
States",209
United States,210
U.S.,211
U.S.,212
