toponym,offset
America,0
America,1
States,2
States,3
States,4
States,5
North-east,6
Mississippi,7
Southern States,8
States,9
Mannahatta,10
Tennessee,11
America,12
Paumanok,13
Mannahatta,14
California,15
Dakota,16
Missouri,17
Niagara,18
New World,19
Mississippi,20
Ohio,21
Indiana,22
Illinois,23
Iowa,24
Wisconsin,25
Minnesota,26
Kansas,27
America,28
West,29
States,30
America,31
Alabama,32
States,33
States,34
north-west Columbia,35
Colorado,36
Chesapeake,37
Delaware,38
Ontario,39
Michigan,40
Massachusetts,41
Vermont,42
Connecticut,43
New England,44
Paumanok,45
Chicago,46
States,47
Maryland,48
Maine,49
Narragansett Bay State,50
Empire State,51
America,52
States,53
Okonee,54
Ottawa,55
Monongahela,56
Sauk,57
Natchez,58
Chattahoochee,59
Kaqueta,60
Oronoco,61
Wabash,62
Miami,63
Saginaw,64
Chippewa,65
Western Sea,66
Eastern Sea,67
Kaw,68
Atlantica,69
Europe,70
Europe,71
States,72
Kanuck,73
Tuckahoe,74
Huron,75
Red river,76
Tennessee,77
Arkansas,78
Altamahaw,79
Elkhorn,80
Buckeye,81
Newfoundland,82
Vermont,83
Maine,84
Manhattan,85
Labrador,86
Manhattan,87
Niagara,88
Broadway,89
Judaea,90
Texas,91
Alamo,92
Alamo,93
Alamo,94
Mississippi,95
Iowa,96
Oregon,97
California,98
Brahma,99
Mexitli,100
Shastas,101
Camerado,102
America,103
Deliriate,104
California,105
California,106
Hindustan,107
Asia,108
States,109
States,110
America,111
Florida,112
Manhattan,113
Louisiana,114
Louisiana,115
Louisiana,116
Germany,117
Italy,118
France,119
Spain,120
China,121
Russia,122
Mannahatta,123
America,124
North,125
California,126
California,127
Oregon,128
Western sea,129
States,130
America,131
Mississippi,132
Mississippi,133
Pennsylvania,134
States,135
States,136
Asia,137
Africa,138
Europe,139
America,140
Malaysia,141
Syria,142
Okotsk,143
Andes,144
Himalayas,145
Elbruz,146
Karnac Alps,147
Madagascar,148
Antarctic,149
Atlantic,150
Pacific,151
Mexico,152
Peru,153
Hindustan,154
China,155
Guinea,156
Japan,157
Nagasaki,158
Caspian,159
Bothnia,160
Mediterranean,161
White sea,162
Greenland,163
cape Verde,164
Sunda,165
"cape
      Lopatka",166
Mexico,167
Cuba,168
Hayti,169
Hudson,170
Baffin,171
Dover,172
Gibraltar,173
Lena,174
Niger,175
Congo,176
Indus,177
Burampooter,178
Cambodia,179
Australia,180
Liverpool,181
Glasgow,182
Dublin,183
Marseilles,184
Lisbon,185
Naples,186
Hamburg,187
Bremen,188
Bordeaux,189
Hague,190
Copenhagen,191
Valparaiso,192
Rio Janeiro,193
Panama,194
Great Britain,195
Europe,196
Asia,197
Africa,198
Amazon,199
Paraguay,200
China,201
Yellow River,202
Seine,203
Danube,204
Loire,205
Rhone,206
Volga,207
Dnieper,208
Po,209
Egina,210
Assyria,211
Persia,212
India,213
Ganges,214
Saukara,215
Asia,216
Mongolia,217
Kalmucks,218
Pacific,219
Atlantic,220
Switzerland,221
Vienna,222
St. Petersburg,223
Berlin,224
Constantinople,225
Adelaide,226
Melbourne,227
London,228
Manchester,229
Bristol,230
Edinburgh,231
Limerick,232
Madrid,233
Cadiz,234
Barcelona,235
Oporto,236
Brussels,237
Frankfort,238
Stuttgart,239
Turin,240
Florence,241
Moscow,242
Cracow,243
Warsaw,244
Christiania,245
Stockholm,246
Siberian Irkutsk,247
Iceland,248
Algiers,249
Tripoli,250
Derne,251
Monrovia,252
Pekin,253
Canton,254
Benares,255
Delhi,256
Calcutta,257
Aleppo,258
Khiva,259
Herat,260
Teheran,261
Muscat,262
Egypt,263
Memphis,264
England,265
Russia,266
Spain,267
France,268
Netherlands,269
Styria,270
Danube,271
Rhine,272
Elbe,273
Seville,274
China,275
Euphrates,276
Nineveh,277
Mecca,278
Nazareth,279
Damascus,280
Tiberias,281
Madagascar,282
Sumatra,283
Borneo,284
Asia,285
Africa,286
Europe,287
Australia,288
America,289
Madras,290
Nankin,291
Kaubul,292
Cairo,293
Amazonia,294
America,295
Manhattan,296
Brooklyn,297
Brooklyn,298
Manhattan,299
Manhattan,300
Mannahatta,301
Brooklyn,302
Mississippi,303
St. Lawrence,304
Sacramento,305
Hudson,306
Paumanok,307
Florida,308
Louisiana,309
Alabama,310
Texas,311
California,312
New Mexico,313
Cuba,314
States,315
East,316
Susquehanna,317
Potomac,318
Rappahannock,319
Roanoke,320
Delaware,321
Saginaw,322
Afar,323
Moosehead lake,324
Carolinas,325
Pedee,326
Georgia,327
"North
      Carolina",328
Tennessee,329
Kentucky,330
Virginia,331
Mannahatta,332
Mississippi,333
California,334
California,335
Texas,336
States,337
States,338
Paumanok,339
Boston,340
Philadelphia,341
Baltimore,342
Charleston,343
"New
      Orleans",344
San Francisco,345
States,346
Florida,347
Arkansaw,348
Rio Grande,349
Nueces,350
Brazos,351
Tombigbee,352
Red River,353
Osage,354
Paumanok,355
Kanadian,356
Mannahatta,357
Mannahatta,358
Mannahatta,359
America,360
Chesapeake,361
Paumanok,362
St. Lawrence,363
Thousand Islands,364
Atlantic,365
America,366
America,367
New England,368
Arkansas,369
Colorado,370
Ottawa,371
Willamette,372
Mississippi,373
Central America,374
Scandinavia,375
Ethiopia,376
America,377
Cornice,378
Capitols of States,379
States,380
Manhattan,381
Penobscot,382
Kenebec,383
Columbia,384
Gila,385
Rio Grande,386
St. Lawrence,387
Kanada,388
Yellowstone,389
Long,390
Greece,391
Ionia,392
Jerusalem,393
Mount Moriah,394
Egypt,395
Asia,396
Europe,397
Melpomene,398
Jerusalem,399
Palmerin,400
Egypt,401
Milan,402
States,403
California,404
Nevada,405
America,406
Babylon,407
Olympia,408
America,409
Atlantic,410
Pacific,411
Brooklyn,412
America,413
America,414
Oregon,415
Maine,416
Ohio,417
Pennsylvania,418
Missouri,419
Georgia,420
Texas,421
California,422
Mendocino,423
West,424
Asia,425
Europe,426
America,427
New World,428
Idaho,429
Utah,430
Mendocino,431
California,432
Colorado,433
India,434
China,435
Australia,436
Pacific,437
America,438
White House,439
States,440
Pyrotechny,441
States,442
America,443
Colorado,444
Nebraska,445
Arkansas,446
Missouri,447
West,448
France,449
