toponym,offset,latitude,longitude
America,0,39.76,-98.5
America,1,39.76,-98.5
Mississippi,7,32.75041,-89.75036
Tennessee,11,36.538846,-87.364887
America,12,39.76,-98.5
California,15,35.125624,-118.021353
Missouri,17,38.25031,-92.50046
Mississippi,20,32.75041,-89.75036
Ohio,21,40.25034,-83.00018
Indiana,22,40.00032,-86.25027
Illinois,23,40.00032,-89.25037
Iowa,24,42.00027,-93.50049
Wisconsin,25,44.392496,-89.818139
Minnesota,26,46.25024,-94.25055
Kansas,27,38.50029,-98.50063
America,28,39.76,-98.5
West,29,31.80238,-97.09167
America,31,39.76,-98.5
Alabama,32,32.75041,-86.75026
north-west Columbia,35,33.99349,-81.07398
Colorado,36,39.00027,-105.50083
Chesapeake,37,36.81904,-76.27494
Delaware,38,39.00039,-75.49992
Ontario,39,49.25014,-84.49983
Michigan,40,44.25029,-85.50033
Massachusetts,41,42.36565,-71.10832
Vermont,42,44.00034,-72.74983
Connecticut,43,41.66704,-72.66648
New England,44,46.53918,-102.86822
Chicago,46,41.85003,-87.65005
Maryland,48,38.885867,-76.904972
Maine,49,44.538526,-67.883074
Narragansett Bay State,50,42.36565,-71.10832
Empire State,51,43.00035,-75.4999
America,52,39.76,-98.5
Ottawa,55,45.41117,-75.69812
Monongahela,56,40.20313,-79.92616
Natchez,58,31.56044,-91.40317
Chattahoochee,59,30.70519,-84.84298
Oronoco,61,44.16608,-92.53491
Wabash,62,40.79782,-85.82054
Miami,63,25.77427,-80.19366
Saginaw,64,43.41947,-83.95081
Western Sea,66,47.60621,-122.33207
Eastern Sea,67,47.60621,-122.33207
Atlantica,69,-21.57306,-51.21611
Tuckahoe,74,37.59015,-77.55638
Red river,76,36.70808,-105.40612
Tennessee,77,36.538846,-87.364887
Arkansas,78,33.981735,-91.5578
Altamahaw,79,36.1843,-79.50725
Elkhorn,80,42.67279,-88.54454
Buckeye,81,33.37032,-112.58378
Newfoundland,82,52.0,-56.0
Vermont,83,44.00034,-72.74983
Maine,84,44.538526,-67.883074
Manhattan,85,40.742185,-73.992602
Manhattan,87,40.742185,-73.992602
Broadway,89,38.61317,-78.79891
Texas,91,31.25044,-99.25061
Alamo,92,20.90992,-97.67469
Alamo,93,20.90992,-97.67469
Alamo,94,20.90992,-97.67469
Mississippi,95,32.75041,-89.75036
Iowa,96,42.00027,-93.50049
Oregon,97,44.00013,-120.50139
California,98,35.125624,-118.021353
America,103,39.76,-98.5
California,105,35.125624,-118.021353
California,106,35.125624,-118.021353
Hindustan,107,39.3081,-86.48333
America,111,39.76,-98.5
Florida,112,28.75054,-82.5001
Manhattan,113,40.742185,-73.992602
Louisiana,114,31.00047,-92.0004
Louisiana,115,31.00047,-92.0004
Louisiana,116,31.00047,-92.0004
Germany,117,51.5,10.5
Italy,118,42.83333,12.83333
France,119,46.0,2.0
Spain,120,40.0,-4.0
China,121,35.0,105.0
Russia,122,60.0,100.0
America,124,39.76,-98.5
California,126,35.125624,-118.021353
California,127,35.125624,-118.021353
Oregon,128,44.00013,-120.50139
Western sea,129,47.60621,-122.33207
America,131,39.76,-98.5
Mississippi,132,32.75041,-89.75036
Mississippi,133,32.75041,-89.75036
Pennsylvania,134,40.696298,-77.995133
Africa,138,35.50472,11.06222
America,140,39.76,-98.5
Malaysia,141,2.5,112.5
Syria,142,35.0,38.0
Andes,144,-32.83369,-70.59827
Madagascar,148,-20.0,47.0
Pacific,151,38.482,-90.74152
Mexico,152,23.0,-102.0
Peru,153,-10.0,-76.0
Hindustan,154,39.3081,-86.48333
China,155,35.0,105.0
Guinea,156,11.0,-10.0
Japan,157,35.68536,139.75309
Nagasaki,158,32.74472,129.87361
Caspian,159,46.06412,-88.63152
Greenland,163,72.0,-40.0
cape Verde,164,16.0,-24.0
Mexico,167,23.0,-102.0
Hayti,169,19.0,-72.41667
Gibraltar,173,36.13333,-5.35
Lena,174,43.16089,-5.82878
Niger,175,18.0,9.0
Congo,176,0.0,25.0
Cambodia,179,13.0,105.0
Australia,180,-25.0,135.0
Liverpool,181,53.4054719,-2.9805393
Glasgow,182,55.861147,-4.2499891
Marseilles,184,43.29695,5.38107
Lisbon,185,38.71667,-9.13333
Naples,186,40.83333,14.25
Hamburg,187,53.57532,10.01534
Bordeaux,189,44.84044,-0.5805
Hague,190,52.07667,4.29861
Copenhagen,191,55.67594,12.56553
Valparaiso,192,-33.03932,-71.62725
Panama,194,9.0,-80.0
Great Britain,195,54.75844,-2.69531
Africa,198,35.50472,11.06222
Paraguay,200,-22.99333,-57.99639
China,201,35.0,105.0
Yellow River,202,43.08776,-91.18791
Danube,204,44.7919,-95.09722
Volga,207,57.95157,38.38785
Egina,210,37.74667,23.4275
Persia,212,32.0,53.0
India,213,20.0,77.0
Ganges,214,43.9338,3.70784
Mongolia,217,46.0,105.0
Pacific,219,38.482,-90.74152
Switzerland,221,47.00016,8.01427
Vienna,222,48.20849,16.37208
St. Petersburg,223,59.89444,30.26417
Constantinople,225,41.01384,28.94966
Adelaide,226,-34.92866,138.59863
Melbourne,227,-37.814,144.96332
London,228,51.5072648,-0.1278328
Manchester,229,53.48095,-2.23743
Edinburgh,231,55.9483399,-3.1932723
Limerick,232,52.66472,-8.62306
Madrid,233,40.4165,-3.70256
Barcelona,235,41.38879,2.15899
Oporto,236,41.14961,-8.61099
Brussels,237,50.85045,4.34878
Stuttgart,239,48.78232,9.17702
Turin,240,45.07049,7.68682
Florence,241,43.76667,11.25
Moscow,242,55.75,37.5
Cracow,243,50.06143,19.93658
Warsaw,244,52.22977,21.01178
Stockholm,246,59.33258,18.0649
Siberian Irkutsk,247,52.29778,104.29639
Iceland,248,65.0,-18.0
Algiers,249,36.7525,3.04197
Derne,251,51.5708,7.52013
Monrovia,252,6.30054,-10.7969
Pekin,253,39.9075,116.39723
Canton,254,23.11667,113.25
Benares,255,25.31668,83.01042
Delhi,256,28.65381,77.22897
Calcutta,257,22.56263,88.36304
Aleppo,258,36.20124,37.16117
Herat,260,34.34817,62.19967
Teheran,261,35.69439,51.42151
Muscat,262,23.61387,58.5922
Egypt,263,27.0,30.0
Memphis,264,35.14953,-90.04898
England,265,52.16045,-0.70312
Russia,266,60.0,100.0
Spain,267,40.0,-4.0
France,268,46.0,2.0
Netherlands,269,52.5,5.75
Styria,270,47.25,15.16667
Danube,271,44.7919,-95.09722
Rhine,272,31.98962,-83.20015
Elbe,273,52.08333,10.28333
Seville,274,37.38241,-5.97613
China,275,35.0,105.0
Euphrates,276,35.16667,40.28333
Mecca,278,21.42667,39.82611
Damascus,280,33.5102,36.29128
Tiberias,281,32.7922,35.53124
Madagascar,282,-20.0,47.0
Africa,286,35.50472,11.06222
Australia,288,-25.0,135.0
America,289,39.76,-98.5
Madras,290,13.08784,80.27847
Nankin,291,32.06167,118.77778
Cairo,293,30.06263,31.24967
Amazonia,294,39.88611,-94.89191
America,295,39.76,-98.5
Manhattan,296,40.742185,-73.992602
Brooklyn,297,40.6501,-73.94958
Brooklyn,298,40.6501,-73.94958
Manhattan,299,40.742185,-73.992602
Manhattan,300,40.742185,-73.992602
Brooklyn,302,40.6501,-73.94958
Mississippi,303,32.75041,-89.75036
Sacramento,305,38.58157,-121.4944
Florida,308,28.75054,-82.5001
Louisiana,309,31.00047,-92.0004
Alabama,310,32.75041,-86.75026
Texas,311,31.25044,-99.25061
California,312,35.125624,-118.021353
New Mexico,313,34.50034,-106.00085
East,316,27.23998,87.14802
Potomac,318,39.01817,-77.20859
Roanoke,320,37.27097,-79.94143
Delaware,321,39.00039,-75.49992
Saginaw,322,43.41947,-83.95081
Pedee,326,47.35102,-116.7749
Georgia,327,32.75042,-83.50018
"North
      Carolina",328,18.38078,-65.95739
Tennessee,329,36.538846,-87.364887
Kentucky,330,38.20042,-84.87762
Virginia,331,37.54812,-77.44675
Mississippi,333,32.75041,-89.75036
California,334,35.125624,-118.021353
California,335,35.125624,-118.021353
Texas,336,31.25044,-99.25061
Boston,340,42.35843,-71.05977
Philadelphia,341,39.95234,-75.16379
Charleston,343,32.77657,-79.93092
"New
      Orleans",344,47.90289,1.90389
San Francisco,345,37.77493,-122.41942
Florida,347,28.75054,-82.5001
Arkansaw,348,44.63385,-92.03128
Rio Grande,349,-32.035,-52.09861
Red River,353,36.70808,-105.40612
America,360,39.76,-98.5
Chesapeake,361,36.81904,-76.27494
America,366,39.76,-98.5
America,367,39.76,-98.5
New England,368,46.53918,-102.86822
Arkansas,369,33.981735,-91.5578
Colorado,370,39.00027,-105.50083
Ottawa,371,45.41117,-75.69812
Willamette,372,45.34429,-122.66704
Mississippi,373,32.75041,-89.75036
Central America,374,34.744649,-82.797267
Scandinavia,375,44.46164,-89.14928
Ethiopia,376,8.0,38.0
America,377,39.76,-98.5
Manhattan,381,40.742185,-73.992602
Rio Grande,386,-32.035,-52.09861
Kanada,388,60.10867,-113.64258
Long,390,18.07422,99.83073
Greece,391,39.0,22.0
Ionia,392,42.98725,-85.07112
Jerusalem,393,31.76904,35.21633
Mount Moriah,394,40.32973,-93.79467
Egypt,395,27.0,30.0
Jerusalem,399,31.76904,35.21633
Egypt,401,27.0,30.0
Milan,402,45.46427,9.18951
California,404,35.125624,-118.021353
Nevada,405,39.25021,-116.75119
America,406,39.76,-98.5
Babylon,407,40.69566,-73.32568
Olympia,408,47.03787,-122.9007
America,409,39.76,-98.5
Pacific,411,38.482,-90.74152
Brooklyn,412,40.6501,-73.94958
America,413,39.76,-98.5
America,414,39.76,-98.5
Oregon,415,44.00013,-120.50139
Maine,416,44.538526,-67.883074
Ohio,417,40.25034,-83.00018
Pennsylvania,418,40.696298,-77.995133
