toponym,offset
LATIN,0
WHOEL,1
BALEINE,2
BALLENA,3
Leviathan,4
Hampton Court,5
Whirlpooles,6
Civitas,7
SPITZBERGEN,8
PURCHAS,9
ASIA,10
Elbe,11
Shetland,12
Spitzbergen,13
GREENLAND,14
SOUTH AMERICA,15
ICELAND,16
Spain,17
Europe,18
LONDON,19
London Bridge,20
Spermacetti Whales,21
Atlantic,22
NANTUCKET,23
Pacific,24
Berlin Gazette,25
NANTUCKET,26
PACIFIC OCEAN,27
NANTUCKET,28
NEW YORK,29
Greenland,30
Nantucket,31
NANTUCKET,32
Northern Ocean,33
India,34
U.S.,35
London,36
Coenties Slip,37
China,38
Prairies,39
Tennessee,40
Rockaway Beach,41
Seneca,42
Providence,43
Pacific,44
Manhatto,45
New Bedford,46
Nantucket,47
New Bedford,48
Nantucket,49
Nantucket,50
Nantucket,51
Carthage,52
Nantucket,53
Nantucket,54
New Bedford,55
Tophet,56
Nantucket,57
Sumatra,58
"New
England",59
Black Sea,60
Javan,61
Cape,62
Iceland,63
Labrador,64
Labrador,65
Alleghanian Ridge,66
Virginia,67
Mt. Hecla,68
New Zealand,69
"New
Zealand",70
South Seas,71
"New
Zealand",72
"South
Seas",73
Congo,74
Congo,75
Queequeg,76
Queequeg,77
Queequeg,78
Queequeg,79
Queequeg,80
Queequeg,81
Queequeg,82
Queequeg,83
Queequeg,84
Newfoundland,85
Queequeg,86
Queequeg,87
Queequeg,88
Queequeg,89
Queequeg,90
Queequeg,91
Queequeg,92
Queequeg,93
Andes,94
Ledyard,95
New England,96
Mungo Park,97
Siberia,98
Ledyard,99
Africa,100
Green Mountains,101
Queequeg,102
Queequeg,103
Queequeg,104
Queequeg,105
New Bedford,106
Broadway,107
Mediterranean,108
Bombay,109
New Bedford,110
New Hampshire,111
Green Mountains,112
Labrador,113
New England,114
Canaan,115
America,116
New Bedford,117
Atlantic,118
Pacific,119
New Bedford,120
New Bedford,121
New Bedford,122
New Bedford,123
Salem,124
New Bedford,125
Indian Ocean,126
Pacific,127
Patagonia,128
WILLIS ELLERY,129
PACIFIC,130
Japan,131
Queequeg,132
Elephanta,133
Nantucket,134
Nantucket,135
Joppa,136
Cadiz,137
Cadiz,138
Cadiz,139
Spain,140
Joppa,141
Atlantic,142
Joppa,143
Jaffa,144
Mediterranean,145
Cadiz,146
Straits of Gibraltar,147
Nineveh,148
Joppa,149
Queequeg,150
Washington,151
Queequeg,152
Queequeg,153
Cape Horn,154
Jupiter,155
Queequeg,156
Queequeg,157
Queequeg,158
Queequeg,159
Queequeg,160
Queequeg,161
Queequeg,162
Queequeg,163
Queequeg,164
Rokovoko,165
South,166
Queequeg,167
Christendom,168
Queequeg,169
Queequeg,170
Queequeg,171
Queequeg,172
Christendom,173
Prince of Wales,174
Queequeg,175
Sag Harbor,176
Nantucket,177
Queequeg,178
Nantucket,179
Queequeg,180
Queequeg,181
Queequeg,182
Queequeg,183
Queequeg,184
Queequeg,185
Queequeg,186
Sag Harbor,187
Queequeg,188
Queequeg,189
Rokovoko,190
Rokovoko,191
Queequeg,192
Queequeg,193
Queequeg,194
Queequeg,195
Acushnet river,196
Queequeg,197
Queequeg,198
Queequeg,199
Queequeg,200
Queequeg,201
Queequeg,202
Queequeg,203
Queequeg,204
Queequeg,205
Queequeg,206
Queequeg,207
Queequeg,208
Queequeg,209
Queequeg,210
Queequeg,211
Nantucket,212
Nantucket,213
Nantucket,214
Eddystone,215
Canada,216
Nantucket,217
Rome,218
Nantucket,219
Illinois,220
New England,221
Straits,222
Atlantic,223
Pacific,224
Poland,225
America,226
Mexico,227
Texas,228
Cuba,229
Canada,230
India,231
China,232
Alps,233
Queequeg,234
Nantucket,235
Queequeg,236
Queequeg,237
Queequeg,238
Queequeg,239
Queequeg,240
Queequeg,241
Queequeg,242
Queequeg,243
Queequeg,244
Queequeg,245
Queequeg,246
Queequeg,247
Queequeg,248
Queequeg,249
Queequeg,250
Pequod,251
Egypt,252
Siberia,253
Japan,254
Cologne,255
Canterbury Cathedral,256
Pequod,257
Pottowottamie Sachem,258
Pequod,259
Cape Cod,260
Cape Horn,261
Nantucket,262
Atlantic,263
Pacific,264
Nantucket,265
Bildad,266
Pequod,267
Pequod,268
Bildad,269
Bildad,270
Queequeg,271
Cape,272
Gayhead,273
Queequeg,274
Queequeg,275
Queequeg,276
Queequeg,277
Queequeg,278
Queequeg,279
Queequeg,280
Queequeg,281
Snarles,282
Queequeg,283
Queequeg,284
Queequeg,285
Queequeg,286
Atlantic Ocean,287
Queequeg,288
Queequeg,289
Queequeg,290
Queequeg,291
Queequeg,292
Queequeg,293
Queequeg,294
Queequeg,295
Queequeg,296
Queequeg,297
Queequeg,298
Queequeg,299
Pequod,300
Queequeg,301
Queequeg,302
Nantucket,303
Queequeg,304
Queequeg,305
Queequeg,306
Queequeg,307
Queequeg,308
Queequeg,309
Quohog,310
Nantucket,311
Queequeg,312
Queequeg,313
Queequeg,314
Queequeg,315
Bildad,316
Bildad,317
Nantucket,318
Japan,319
Queequeg,320
Pequod,321
"Cape
Horn",322
Santa,323
Nantucket,324
Pequod,325
Pequod,326
Queequeg,327
Queequeg,328
Cape Horn,329
Queequeg,330
Pequod,331
Queequeg,332
Queequeg,333
Island,334
Pequod,335
Pequod,336
Queequeg,337
Bildad,338
Queequeg,339
Queequeg,340
Queequeg,341
Queequeg,342
Queequeg,343
Queequeg,344
Queequeg,345
Pequod,346
Queequeg,347
Queequeg,348
Queequeg,349
Queequeg,350
Queequeg,351
Queequeg,352
Queequeg,353
Queequeg,354
Queequeg,355
Queequeg,356
Queequeg,357
Pequod,358
Pequod,359
Nantucket,360
Booble Alley,361
Pequod,362
Watts,363
Queequeg,364
Canaan,365
Atlantic,366
Nantucket,367
Bildad,368
Atlantic,369
New Bedford,370
Bulkington,371
Bulkington,372
Queequeg,373
France,374
Dunkirk,375
Nantucket,376
Britain,377
America,378
Vancouver,379
Nantucket,380
South Sea Voyages,381
Vancouver,382
Cape Horn,383
Europe,384
Pacific,385
Peru,386
Bolivia,387
Old Spain,388
America,389
Australia,390
Japan,391
Nantucket,392
Queequeg,393
Pequod,394
Nantucket,395
Cape,396
Pequod,397
Queequeg,398
Queequeg,399
Nantucket,400
Antarctic,401
New England,402
Africa,403
Nantucket,404
Azores,405
Nantucket,406
Greenland,407
London,408
Shetland Islands,409
Pequod,410
Old Ahab,411
Pequod,412
Alabama,413
Cape,414
Nantucket,415
Japan,416
Pequod,417
Pequod,418
Quito,419
England,420
Aldrovandi,421
Artedi,422
Lacepede,423
Greenland,424
Greenland,425
Greenland,426
Greenland,427
Greenland,428
Nantucket,429
Nantucket,430
England,431
Greenland,432
Greenland Whale,433
Greenland Whale,434
Greenland,435
Brazil,436
West Coast,437
Greenland,438
Long-John,439
Atlantic,440
New York,441
Greenland,442
Greenland,443
Greenland,444
Cape Horn,445
Polar Sea,446
Greenwich Palace,447
Thames,448
Windsor,449
Leicester,450
Pacific,451
Pacific,452
Cape Whale,453
Cologne,454
Specksioneer,455
TERROREM,456
Nantucket,457
Babylon,458
Ahab,459
Frankfort,460
Queequeg,461
Queequeg,462
Queequeg,463
Queequeg,464
Christendom,465
Missouri,466
Logan,467
Babel,468
Asia,469
Africa,470
Washington,471
Baltimore,472
Trafalgar Square,473
London,474
Washington,475
Nantucket,476
Bay,477
New Zealand,478
Rhodes,479
Alps,480
Greenland,481
Greenland Whale,482
Old Greenland,483
Queequeg,484
Nantucket,485
Queequeg,486
Gay-Header,487
Queequeg,488
Queequeg,489
Nantucket,490
Tashtego,491
Norway,492
Nantucket,493
Nantucket,494
Lombardy,495
SOLUS,496
Spain,497
Amsterdam,498
Blanket Bay,499
ICELAND,500
CHINA,501
Tahiti,502
Cattegat,503
BELFAST,504
White Whale,505
White Whale,506
White Whale,507
White Whale,508
"White
Whale",509
Greenland,510
Povelson,511
Povelson,512
White Whale,513
Pacific,514
Greenland,515
Portugal,516
Syracuse,517
White Whale,518
Arkansas,519
Turk,520
Patagonian Cape,521
Highland,522
Hotel de Cluny,523
Pequod,524
White Whale,525
"White
Whale",526
Siam,527
Rome,528
Great Jove,529
St. John,530
Antarctic,531
Antarctic,532
Prairies,533
Rocky Mountains,534
Ohio,535
"White
Steed",536
White Steed,537
"White
Squall",538
Froissart,539
Whitsuntide,540
White Nun,541
"White
Tower",542
London,543
Byward Tower,544
White Mountains of New Hampshire,545
Virginia,546
Blue Ridge,547
White Sea,548
Yellow Sea,549
Central Europe,550
Lima,551
Lima,552
Peru,553
Andes,554
West,555
Antarctic,556
Vermont,557
New England,558
Oregon,559
Oregon,560
Lapland,561
Nantucket,562
Washington,563
Volcano Bay,564
"Japanese
Coast",565
Pequod,566
Nantucket,567
Pacific,568
White Whale,569
Persian Gulf,570
Bengal Bay,571
China Seas,572
Constantinople,573
Africa,574
Africa,575
Ombay,576
New Zealand,577
Japan,578
Narragansett Woods,579
White Whale,580
New Guinea,581
New Guinea,582
New Guinea,583
Pacific,584
Egypt,585
Nantucket,586
Pacific Ocean,587
Pacific,588
Nantucket,589
Nantucket,590
Nantucket,591
Oahu,592
Sandwich Islands,593
Valparaiso,594
Tarsus,595
Dorchester,596
Boston,597
Langsdorff,598
America,599
Constantinople,600
Sea of Marmora,601
Mediterranean,602
Mediterranean,603
Dardanelles,604
Mediterranean,605
Queequeg,606
Queequeg,607
Queequeg,608
Queequeg,609
Tashtego,610
Tashtego,611
Tashtego,612
White Whale,613
Mississippi,614
Queequeg,615
Queequeg,616
Queequeg,617
Queequeg,618
Queequeg,619
White Whale,620
Queequeg,621
"Cape
Horn",622
Tamerlane,623
Azores,624
Cape de Verdes,625
Rio de la Plata,626
Carrol Ground,627
St. Helena,628
moon,629
Pequod,630
Cape,631
Cape,632
Pequod,633
Pacific,634
New York State,635
Salisbury Plain,636
England,637
Salisbury Plains,638
Island,639
mid-Atlantic,640
Broadway,641
"White
Whale",642
Tashtego,643
Lima,644
Nantucket,645
Pacific,646
Steelkilt,647
Buffalo,648
Lakeman,649
Lake Erie,650
Callao,651
Manilla,652
America,653
Ontario,654
Michigan,655
Atlantic,656
Buffalo,657
Cleveland,658
Nantucket,659
Atlantic,660
Pacific,661
Atlantic,662
Erie Canal,663
New York,664
Mohawk,665
Lima,666
Lima,667
Venice,668
Lima,669
Lima,670
Venice,671
Sydney,672
Grand Canal,673
Lima,674
Radney,675
Steelkilt,676
Teneriffe,677
Teneriffe,678
Tahiti,679
Tahiti,680
Tahiti,681
France,682
Nantucket,683
Golden Inn,684
Lima,685
St. George,686
Elephanta,687
India,688
Thames,689
Saratoga,690
Baden-Baden,691
Spitzbergen,692
South Seas,693
Mexico,694
London,695
Greenland,696
Nantucket,697
Pliny,698
Purchas,699
Hackluyt,700
Patagonian,701
Europe,702
Versailles,703
France,704
Garnery,705
England,706
Greenland,707
Greenland,708
Garnery,709
Pacific,710
Sheet-Iron,711
Mountains,712
London,713
KEDGER,714
Wapping,715
Pacific,716
Nantucket,717
New Bedford,718
Christendom,719
South Sea,720
Soloma Islands,721
Crozetts,722
Pequod,723
Newfoundland,724
India,725
Tahiti,726
Daggoo,727
"Kraken of Bishop
Pontoppodan",728
Manilla,729
Manilla,730
Calais,731
Queequeg,732
Indian Ocean,733
Rio de la Plata,734
Peru,735
New York,736
Tashtego,737
Queequeg,738
Tashtego,739
Tashtego,740
China,741
Pequod,742
Stubb,743
Atlantic,744
Roanoke,745
Cape-Down,746
Cape-Town,747
France,748
Greenland,749
Amsterdam,750
Pacific,751
Queequeg,752
Queequeg,753
Queequeg,754
Nantucket,755
Upper Mississippi,756
"New
England",757
Greenland,758
Borneo,759
St. Peter,760
St. Peter,761
Nantucket,762
Pequod,763
Pequod,764
Neskyeuna,765
Nantucket,766
"White
Whale",767
White Whale,768
Pequod,769
Queequeg,770
Queequeg,771
Highland,772
Queequeg,773
Queequeg,774
Queequeg,775
Queequeg,776
Providence,777
Queequeg,778
Pequod,779
Queequeg,780
Queequeg,781
Queequeg,782
Queequeg,783
Queequeg,784
Queequeg,785
Queequeg,786
Queequeg,787
Queequeg,788
Pequod,789
Pequod,790
Crozetts,791
White Whale,792
Euclid,793
Kentucky Mammoth Cave,794
Queequeg,795
Tashtego,796
Queequeg,797
Michigan,798
Purchas,799
Hackluyt,800
Haarlem,801
Turkey,802
Darien,803
Atlantic,804
Pacific,805
Great Heidelburgh Tun,806
Heidelburgh,807
Heidelburgh Tun,808
Heidelburgh Tun,809
Tashtego,810
Heidelburgh,811
Niagara,812
Queequeg,813
Queequeg,814
Queequeg,815
Queequeg,816
Queequeg,817
Tashtego,818
Queequeg,819
Ohio,820
Rock of Gibraltar,821
Highland,822
Sperm Whale,823
Orient World,824
Egypt,825
Jungfrau,826
Bremen,827
Pacific,828
Jungfrau,829
Pequod,830
Newcastle,831
Bremen,832
Jungfrau,833
England,834
Queequeg,835
Tashtego,836
Nantucket,837
America,838
Pequod,839
Queequeg,840
New Zealand,841
Pequod,842
Jungfrau,843
Jupiter,844
Perseus,845
Joppa,846
Jaffa,847
Joppa,848
Italy,849
Joppa,850
Perseus,851
St. George,852
St. George,853
Coffin,854
Philistines,855
Israel,856
England,857
Nantucket,858
St. George,859
St. George,860
Hercules,861
Vishnoo,862
St. George,863
Hercules,864
Hercules,865
Sag-Harbor,866
Joppa,867
"Mediterranean
Sea",868
Nineveh,869
Tigris,870
Mediterranean,871
Nineveh,872
Cape,873
Mediterranean,874
Persian Gulf,875
Red Sea,876
Africa,877
Tigris,878
Nineveh,879
Cape,880
Nineveh,881
Cape of Good Hope,882
Queequeg,883
Jungfrau,884
Actium,885
Orleans,886
Ohio,887
Monongahela,888
Erie Canal,889
Jupiter,890
Persia,891
Malacca,892
Birmah,893
Asia,894
Sumatra,895
Java,896
Timor,897
Asia,898
Australia,899
Sunda,900
Malacca,901
Sunda,902
China,903
China,904
Sunda,905
Sumatra,906
Java,907
Straits of Sunda,908
Mediterranean,909
Sumatra,910
Malays,911
Sumatra,912
Pequod,913
Javan sea,914
Philippine Islands,915
Japan,916
Pacific,917
Nantucket,918
Pacific,919
China,920
New York,921
Straits of Sunda,922
Pequod,923
Straits of Sunda,924
Tashtego,925
Sumatra,926
Queequeg,927
Queequeg,928
Queequeg,929
Queequeg,930
Queequeg,931
Atlantic,932
Saratoga,933
Hudson,934
Spring,935
Queequeg,936
Queequeg,937
Queequeg,938
Pequod,939
Holland,940
England,941
Philistines,942
Ireland,943
Texas,944
America,945
Poland,946
Greece,947
India,948
England,949
Mexico,950
United States,951
BRACTON,952
England,953
England,954
Wellington,955
Greenland,956
Pequod,957
Pequod,958
Guernseyman,959
Cologne,960
Bordeaux,961
Mecca,962
St. Peter,963
Rome,964
Greenland,965
London,966
Greenland,967
Greenland,968
Holland,969
