toponym,offset,latitude,longitude
BALLENA,3,33.06532,-116.74669
Hampton Court,5,51.4036,-0.33749
Elbe,11,52.08333,10.28333
Shetland,12,60.15456,-1.14899
GREENLAND,14,72.0,-40.0
SOUTH AMERICA,15,37.329217,-86.364699
ICELAND,16,65.0,-18.0
Spain,17,40.0,-4.0
LONDON,19,51.5072648,-0.1278328
London Bridge,20,36.84182,-76.04965
NANTUCKET,23,41.28346,-70.09946
Pacific,24,38.482,-90.74152
Berlin Gazette,25,52.532,13.3922
NANTUCKET,26,41.28346,-70.09946
NANTUCKET,28,41.28346,-70.09946
NEW YORK,29,40.714269,-74.005973
Greenland,30,72.0,-40.0
Nantucket,31,41.28346,-70.09946
NANTUCKET,32,41.28346,-70.09946
India,34,20.0,77.0
U.S.,35,39.76,-98.5
London,36,51.5072648,-0.1278328
China,38,35.0,105.0
Tennessee,40,36.538846,-87.364887
Rockaway Beach,41,45.61344,-123.94291
Pacific,44,38.482,-90.74152
New Bedford,46,41.63622,-70.9342
Nantucket,47,41.28346,-70.09946
New Bedford,48,41.63622,-70.9342
Nantucket,49,41.28346,-70.09946
Nantucket,50,41.28346,-70.09946
Nantucket,51,41.28346,-70.09946
Carthage,52,36.86108,10.33161
Nantucket,53,41.28346,-70.09946
Nantucket,54,41.28346,-70.09946
New Bedford,55,41.63622,-70.9342
Nantucket,57,41.28346,-70.09946
"New
England",59,54.0,-2.0
Iceland,63,65.0,-18.0
Virginia,67,37.54812,-77.44675
"New
Zealand",70,-41.0,174.0
"New
Zealand",72,-41.0,174.0
Congo,74,0.0,25.0
Congo,75,0.0,25.0
Newfoundland,85,52.0,-56.0
Andes,94,-32.83369,-70.59827
Ledyard,95,43.42162,-94.16218
New England,96,46.53918,-102.86822
Siberia,98,9.54944,-83.71296
Ledyard,99,43.42162,-94.16218
Africa,100,35.50472,11.06222
New Bedford,106,41.63622,-70.9342
Broadway,107,38.61317,-78.79891
Bombay,109,19.07283,72.88261
New Bedford,110,41.63622,-70.9342
New Hampshire,111,43.66702,-71.4998
New England,114,46.53918,-102.86822
Canaan,115,44.76173,-69.56144
America,116,39.76,-98.5
New Bedford,117,41.63622,-70.9342
Pacific,119,38.482,-90.74152
New Bedford,120,41.63622,-70.9342
New Bedford,121,41.63622,-70.9342
New Bedford,122,41.63622,-70.9342
New Bedford,123,41.63622,-70.9342
Salem,124,11.65116,78.15867
New Bedford,125,41.63622,-70.9342
Pacific,127,38.482,-90.74152
Patagonia,128,31.53954,-110.7562
PACIFIC,130,38.482,-90.74152
Japan,131,35.68536,139.75309
Nantucket,134,41.28346,-70.09946
Nantucket,135,41.28346,-70.09946
Spain,140,40.0,-4.0
Straits of Gibraltar,147,36.1833,-5.3667
Washington,151,47.50012,-120.50147
Cape Horn,154,38.49074,-119.96685
Jupiter,155,26.93422,-80.09421
South,166,6.66667,2.25
Sag Harbor,176,40.99788,-72.29258
Nantucket,177,41.28346,-70.09946
Nantucket,179,41.28346,-70.09946
Sag Harbor,187,40.99788,-72.29258
Nantucket,212,41.28346,-70.09946
Nantucket,213,41.28346,-70.09946
Nantucket,214,41.28346,-70.09946
Eddystone,215,39.86011,-75.34436
Canada,216,60.10867,-113.64258
Nantucket,217,41.28346,-70.09946
Rome,218,41.89474,12.4839
Nantucket,219,41.28346,-70.09946
Illinois,220,40.00032,-89.25037
New England,221,46.53918,-102.86822
Straits,222,34.72905,-76.57104
Pacific,224,38.482,-90.74152
Poland,225,52.0,20.0
America,226,39.76,-98.5
Mexico,227,23.0,-102.0
Texas,228,31.25044,-99.25061
Canada,230,60.10867,-113.64258
India,231,20.0,77.0
China,232,35.0,105.0
Nantucket,235,41.28346,-70.09946
Egypt,252,27.0,30.0
Siberia,253,9.54944,-83.71296
Japan,254,35.68536,139.75309
Cologne,255,50.93333,6.95
Cape Horn,261,38.49074,-119.96685
Nantucket,262,41.28346,-70.09946
Pacific,264,38.482,-90.74152
Nantucket,265,41.28346,-70.09946
Gayhead,273,42.34147,-73.97013
Nantucket,303,41.28346,-70.09946
Nantucket,311,41.28346,-70.09946
Nantucket,318,41.28346,-70.09946
Japan,319,35.68536,139.75309
Santa,323,45.60798,9.31035
Nantucket,324,41.28346,-70.09946
Cape Horn,329,38.49074,-119.96685
Island,334,65.0,-18.0
Nantucket,360,41.28346,-70.09946
Watts,363,36.10925,-94.57022
Canaan,365,44.76173,-69.56144
Nantucket,367,41.28346,-70.09946
New Bedford,370,41.63622,-70.9342
Bulkington,371,52.477,-1.42612
Bulkington,372,52.477,-1.42612
France,374,46.0,2.0
Dunkirk,375,51.05,2.36667
Nantucket,376,41.28346,-70.09946
Britain,377,54.75844,-2.69531
America,378,39.76,-98.5
Vancouver,379,49.24966,-123.11934
Nantucket,380,41.28346,-70.09946
Vancouver,382,49.24966,-123.11934
Cape Horn,383,38.49074,-119.96685
Pacific,385,38.482,-90.74152
Peru,386,-10.0,-76.0
Bolivia,387,-17.0,-65.0
Old Spain,388,42.24343,-70.94366
America,389,39.76,-98.5
Australia,390,-25.0,135.0
Japan,391,35.68536,139.75309
Nantucket,392,41.28346,-70.09946
Nantucket,395,41.28346,-70.09946
Nantucket,400,41.28346,-70.09946
New England,402,46.53918,-102.86822
Africa,403,35.50472,11.06222
Nantucket,404,41.28346,-70.09946
Nantucket,406,41.28346,-70.09946
Greenland,407,72.0,-40.0
London,408,51.5072648,-0.1278328
Shetland Islands,409,60.333333,-1.333333
Alabama,413,32.75041,-86.75026
Nantucket,415,41.28346,-70.09946
Japan,416,35.68536,139.75309
Quito,419,-0.22985,-78.52495
England,420,52.16045,-0.70312
Greenland,424,72.0,-40.0
Greenland,425,72.0,-40.0
Greenland,426,72.0,-40.0
Greenland,427,72.0,-40.0
Greenland,428,72.0,-40.0
Nantucket,429,41.28346,-70.09946
Nantucket,430,41.28346,-70.09946
England,431,52.16045,-0.70312
Greenland,432,72.0,-40.0
Greenland Whale,433,72.0,-40.0
Greenland Whale,434,72.0,-40.0
Greenland,435,72.0,-40.0
Brazil,436,-10.0,-55.0
West Coast,437,-25.0,122.0
Greenland,438,72.0,-40.0
New York,441,40.714269,-74.005973
Greenland,442,72.0,-40.0
Greenland,443,72.0,-40.0
Greenland,444,72.0,-40.0
Cape Horn,445,38.49074,-119.96685
Thames,448,-37.13333,175.53333
Windsor,449,42.30008,-83.01654
Pacific,451,38.482,-90.74152
Pacific,452,38.482,-90.74152
Cologne,454,50.93333,6.95
Nantucket,457,41.28346,-70.09946
Babylon,458,40.69566,-73.32568
Missouri,466,38.25031,-92.50046
Babel,468,45.403,28.67546
Africa,470,35.50472,11.06222
Washington,471,47.50012,-120.50147
London,474,51.5072648,-0.1278328
Washington,475,47.50012,-120.50147
Nantucket,476,41.28346,-70.09946
Rhodes,479,36.44083,28.2225
Greenland,481,72.0,-40.0
Greenland Whale,482,72.0,-40.0
Old Greenland,483,72.0,-40.0
Nantucket,485,41.28346,-70.09946
Nantucket,490,41.28346,-70.09946
Norway,492,62.0,10.0
Nantucket,493,41.28346,-70.09946
Nantucket,494,41.28346,-70.09946
Lombardy,495,45.66667,9.5
Spain,497,40.0,-4.0
Amsterdam,498,52.37403,4.88969
ICELAND,500,65.0,-18.0
CHINA,501,35.0,105.0
Tahiti,502,-17.5,-149.5
BELFAST,504,54.58333,-5.93333
Greenland,510,72.0,-40.0
Pacific,514,38.482,-90.74152
Greenland,515,72.0,-40.0
Portugal,516,39.6945,-8.13057
Syracuse,517,43.04812,-76.14742
Arkansas,519,33.981735,-91.5578
Highland,522,57.5000001,-5.0000001
Siam,527,15.0,100.0
Rome,528,41.89474,12.4839
St. John,530,47.56494,-52.70931
Ohio,535,40.25034,-83.00018
London,543,51.5072648,-0.1278328
Virginia,546,37.54812,-77.44675
Blue Ridge,547,37.37847,-79.80698
Lima,551,-12.04318,-77.02824
Lima,552,-12.04318,-77.02824
Peru,553,-10.0,-76.0
Andes,554,-32.83369,-70.59827
West,555,31.80238,-97.09167
Vermont,557,44.00034,-72.74983
New England,558,46.53918,-102.86822
Oregon,559,44.00013,-120.50139
Oregon,560,44.00013,-120.50139
Lapland,561,68.0,27.0
Nantucket,562,41.28346,-70.09946
Washington,563,47.50012,-120.50147
Nantucket,567,41.28346,-70.09946
Pacific,568,38.482,-90.74152
China Seas,572,35.0,105.0
Constantinople,573,41.01384,28.94966
Africa,574,35.50472,11.06222
Africa,575,35.50472,11.06222
Japan,578,35.68536,139.75309
Pacific,584,38.482,-90.74152
Egypt,585,27.0,30.0
Nantucket,586,41.28346,-70.09946
Pacific,588,38.482,-90.74152
Nantucket,589,41.28346,-70.09946
Nantucket,590,41.28346,-70.09946
Nantucket,591,41.28346,-70.09946
Valparaiso,594,-33.03932,-71.62725
Tarsus,595,36.91876,34.8784
Boston,597,42.35843,-71.05977
America,599,39.76,-98.5
Constantinople,600,41.01384,28.94966
Dardanelles,604,40.14556,26.40639
Mississippi,614,32.75041,-89.75036
St. Helena,628,-15.95,-5.7
moon,629,49.20666,-1.04799
Pacific,634,38.482,-90.74152
New York State,635,43.00035,-75.4999
England,637,52.16045,-0.70312
Salisbury Plains,638,42.86953,-70.88283
Island,639,65.0,-18.0
Broadway,641,38.61317,-78.79891
Lima,644,-12.04318,-77.02824
Nantucket,645,41.28346,-70.09946
Pacific,646,38.482,-90.74152
Buffalo,648,42.88645,-78.87837
Callao,651,-12.05658,-77.11814
Manilla,652,14.6042,120.9822
America,653,39.76,-98.5
Ontario,654,49.25014,-84.49983
Michigan,655,44.25029,-85.50033
Buffalo,657,42.88645,-78.87837
Nantucket,659,41.28346,-70.09946
Pacific,661,38.482,-90.74152
New York,664,40.714269,-74.005973
Mohawk,665,43.01146,-75.00404
Lima,666,-12.04318,-77.02824
Lima,667,-12.04318,-77.02824
Venice,668,45.43861,12.32667
Lima,669,-12.04318,-77.02824
Lima,670,-12.04318,-77.02824
Venice,671,45.43861,12.32667
Sydney,672,-33.86785,151.20732
Lima,674,-12.04318,-77.02824
Tahiti,679,-17.5,-149.5
Tahiti,680,-17.5,-149.5
Tahiti,681,-17.5,-149.5
France,682,46.0,2.0
Nantucket,683,41.28346,-70.09946
Golden Inn,684,47.26266,11.39454
Lima,685,-12.04318,-77.02824
St. George,686,8.484,-13.22994
India,688,20.0,77.0
Thames,689,-37.13333,175.53333
Baden-Baden,691,48.7606,8.23975
Mexico,694,23.0,-102.0
London,695,51.5072648,-0.1278328
Greenland,696,72.0,-40.0
Nantucket,697,41.28346,-70.09946
Versailles,703,48.8,2.13333
France,704,46.0,2.0
England,706,52.16045,-0.70312
Greenland,707,72.0,-40.0
Greenland,708,72.0,-40.0
Pacific,710,38.482,-90.74152
London,713,51.5072648,-0.1278328
Wapping,715,42.52509,-72.60787
Pacific,716,38.482,-90.74152
Nantucket,717,41.28346,-70.09946
New Bedford,718,41.63622,-70.9342
Newfoundland,724,52.0,-56.0
India,725,20.0,77.0
Tahiti,726,-17.5,-149.5
Manilla,729,14.6042,120.9822
Manilla,730,14.6042,120.9822
Calais,731,50.9581,1.85205
Peru,735,-10.0,-76.0
New York,736,40.714269,-74.005973
China,741,35.0,105.0
Roanoke,745,37.27097,-79.94143
Cape-Town,747,-33.92584,18.42322
France,748,46.0,2.0
Greenland,749,72.0,-40.0
Amsterdam,750,52.37403,4.88969
Pacific,751,38.482,-90.74152
Nantucket,755,41.28346,-70.09946
Upper Mississippi,756,32.75041,-89.75036
"New
England",757,54.0,-2.0
Greenland,758,72.0,-40.0
St. Peter,760,13.25,-59.61667
St. Peter,761,13.25,-59.61667
Nantucket,762,41.28346,-70.09946
Nantucket,766,41.28346,-70.09946
Highland,772,57.5000001,-5.0000001
Euclid,793,41.5931,-81.52679
Kentucky Mammoth Cave,794,37.18616,-86.09998
Michigan,798,44.25029,-85.50033
Haarlem,801,52.38084,4.63683
Turkey,802,39.05901,34.91155
Darien,803,41.75198,-87.97395
Pacific,805,38.482,-90.74152
Great Heidelburgh Tun,806,36.81897,10.16579
Heidelburgh Tun,808,36.81897,10.16579
Heidelburgh Tun,809,36.81897,10.16579
Ohio,820,40.25034,-83.00018
Highland,822,57.5000001,-5.0000001
Egypt,825,27.0,30.0
Pacific,828,38.482,-90.74152
Newcastle,831,-32.92715,151.77647
England,834,52.16045,-0.70312
Nantucket,837,41.28346,-70.09946
America,838,39.76,-98.5
Jupiter,844,26.93422,-80.09421
Italy,849,42.83333,12.83333
St. George,852,8.484,-13.22994
St. George,853,8.484,-13.22994
Israel,856,31.5,34.75
England,857,52.16045,-0.70312
Nantucket,858,41.28346,-70.09946
St. George,859,8.484,-13.22994
St. George,860,8.484,-13.22994
Hercules,861,38.01714,-122.28858
St. George,863,8.484,-13.22994
Hercules,864,38.01714,-122.28858
Hercules,865,38.01714,-122.28858
Sag-Harbor,866,40.99788,-72.29258
Red Sea,876,27.18624,33.78845
Africa,877,35.50472,11.06222
Orleans,886,47.90289,1.90389
Ohio,887,40.25034,-83.00018
Monongahela,888,40.20313,-79.92616
Jupiter,890,26.93422,-80.09421
Persia,891,32.0,53.0
Malacca,892,2.196,102.2405
Java,896,45.50332,-99.88651
Australia,899,-25.0,135.0
Malacca,901,2.196,102.2405
China,903,35.0,105.0
China,904,35.0,105.0
Java,907,45.50332,-99.88651
Javan sea,914,47.60621,-122.33207
Philippine Islands,915,13.0,122.0
Japan,916,35.68536,139.75309
Pacific,917,38.482,-90.74152
Nantucket,918,41.28346,-70.09946
Pacific,919,38.482,-90.74152
China,920,35.0,105.0
New York,921,40.714269,-74.005973
Spring,935,30.07994,-95.41716
Holland,940,52.5,5.75
