toponym,offset
England,0
France,1
England,2
London,3
Westminster,4
America,5
France,6
France,7
Norway,8
Paris,9
England,10
London,11
Turnham Green,12
London,13
Westminster Hall,14
Dover,15
Shooter's Hill,16
London,17
Paris,18
Dover,19
London,20
Tellson's Bank,21
Tellson,22
Dover,23
Royal George Hotel,24
London,25
Calais,26
Concord,27
Concord,28
Concord,29
Concord,30
Tellson,31
London,32
London,33
Paris,34
Tellson,35
France,36
Dover,37
London,38
Tellson,39
Turkey,40
Dead Sea,41
Paris,42
Paris,43
France,44
London,45
Paris,46
Tellson,47
England,48
Paris,49
France,50
France,51
Providence,52
Paris,53
France,54
Paris,55
Notre-Dame,56
North Tower,57
North Tower,58
Defarge,59
North Tower,60
England,61
France,62
Paris,63
France,64
North Tower,65
Abyssinia,66
Tellson,67
London,68
Hounsditch,69
Tyburn,70
Old Bailey,71
Canada,72
North America,73
France,74
England,75
Providence,76
Britain,77
Greece,78
Rome,79
Calais,80
Calais,81
Calais,82
Boulogne,83
Tellson,84
London,85
Dover,86
France,87
Calais,88
France,89
France,90
England,91
America,92
England,93
London,94
London,95
Dover,96
France,97
Barsad,98
Paris,99
Old Bailey,100
"Sydney
Carton",101
Sydney Carton,102
Jeffries,103
Sydney,104
Sydney,105
Sydney,106
Sydney,107
Sydney,108
Sydney,109
Sydney,110
Sydney,111
Sydney,112
Sydney,113
Shrewsbury,114
Shrewsbury,115
Paris,116
Sydney,117
Clerkenwell,118
Soho,119
London,120
Soho,121
Paris,122
Royal George Hotel,123
Dover,124
Ladybird,125
Solomon,126
Soho,127
London,128
Clerkenwell,129
Soho,130
Clerkenwell,131
Paris,132
France,133
Grand Opera,134
France,135
France,136
England,137
Notre Dame,138
Babel,139
Paris,140
Grand Opera,141
Paris,142
England,143
France,144
Bordeaux,145
England,146
Paris,147
London,148
France,149
France,150
France,151
France,152
France,153
England,154
England,155
Paris,156
England,157
London,158
Cambridge,159
London,160
Eden,161
London,162
Soho,163
Sydney Carton,164
France,165
England,166
Sydney,167
Sydney,168
Sydney,169
Sydney,170
Sydney,171
Sydney Carton,172
Sydney,173
Sydney,174
Sydney,175
Sydney,176
Sydney Carton,177
Sydney,178
Sydney,179
Sydney,180
Sydney Carton,181
Sydney,182
Sydney,183
Sydney,184
Sydney,185
Vauxhall Gardens,186
Soho,187
Soho,188
Soho,189
Tellson,190
Tellson,191
Soho,192
Tellson,193
Soho,194
Soho,195
Sydney Carton,196
Devonshire,197
Sydney,198
Old Bailey,199
Rome,200
Rome,201
Rome,202
Rome,203
London,204
Paris,205
Madame Defarge,206
Paris,207
Paris,208
Madame Defarge,209
Paris,210
Versailles,211
Madame Defarge,212
France,213
France,214
Paris,215
Tellson,216
England,217
England,218
England,219
France,220
France,221
Soho,222
London,223
moon,224
Wales,225
Paris,226
Tellson,227
Tellson,228
Sydney Carton,229
Sydney,230
Sydney Carton,231
Sydney Carton,232
Sydney,233
Soho,234
France,235
Tellson,236
Tellson,237
Paris,238
England,239
London,240
France,241
South Sea,242
North Tower,243
Hotel de Ville,244
Hotel de Ville,245
Madame Defarge,246
Paris,247
Hotel de Ville,248
Paris,249
France,250
East,251
West,252
South,253
East,254
West,255
South,256
West,257
South,258
France,259
London,260
France,261
Tellson,262
France,263
Paris,264
Paris,265
England,266
France,267
Monseigneur,268
France,269
London,270
England,271
Paris,272
Paris,273
Paris,274
Paris,275
Tilson,276
Paris,277
France,278
France,279
Paris,280
Loadstone Rock,281
Paris,282
France,283
France,284
Paris,285
Paris,286
Loadstone Rock,287
Paris,288
England,289
France,290
Paris,291
England,292
France,293
Paris,294
Paris,295
Paris,296
Beauvais,297
France,298
Paris,299
England,300
Beauvais,301
Paris,302
England,303
England,304
Paris,305
Defarge,306
France,307
Paris,308
Paris,309
Beauvais,310
England,311
La Guillotine,312
Saint Germain Quarter of Paris,313
London,314
Paris,315
Lombard-street,316
London,317
Paris,318
Paris,319
Paris,320
France,321
Bastille,322
Earth,323
Madame Defarge,324
France,325
"Republic of
Liberty",326
Notre Dame,327
France,328
La Guillotine,329
South,330
Paris,331
La Guillotine,332
Seine,333
France,334
France,335
England,336
England,337
France,338
England,339
France,340
France,341
France,342
England,343
Republic,344
England,345
England,346
United States,347
France,348
North Tower,349
Republic,350
Soho,351
Sydney Carton,352
Sydney,353
Sydney,354
Sydney,355
Sydney,356
Dover,357
Sydney,358
Sydney,359
Sydney,360
Sydney,361
Sydney,362
France,363
Sydney Carton,364
England,365
France,366
"Madame
Defarge",367
Sydney,368
Sydney Carton,369
Sydney Carton,370
London,371
Sydney Carton,372
Paris,373
England,374
Sydney Carton,375
Sydney Carton,376
Sydney Carton,377
England,378
Old England,379
Paris,380
Sydney,381
Sydney Carton,382
Sydney,383
moon,384
Sydney,385
Seine,386
Paris,387
Sydney Carton,388
"Sydney
Carton",389
North Tower,390
North Tower,391
Beauvais,392
Paris,393
Seine,394
Paris,395
Bastille,396
Sydney,397
Tellson,398
England,399
Paris,400
England,401
Soho,402
Sydney Carton,403
Carton,404
Sainte Guillotine,405
Republic,406
Paris,407
Evremonde,408
Sydney Carton,409
France,410
Republic,411
Madame Defarge,412
Republic,413
"Madame
Defarge",414
Evremonde,415
Paris,416
La Guillotine,417
France,418
St. Honore,419
Evremonde,420
Sainte Guillotine,421
England,422
United States,423
United States,424
United States,425
United States,426
United States,427
United States,428
"United
States",429
United States,430
Mississippi,431
U.S.,432
"Melan Dr. S.
Fairbanks",433
Salt Lake City,434
UT,435
"United
States",436
United States,437
U.S.,438
U.S.,439
