toponym,offset,latitude,longitude
England,0,52.16045,-0.70312
France,1,46.0,2.0
England,2,52.16045,-0.70312
London,3,51.5072648,-0.1278328
America,5,39.76,-98.5
France,6,46.0,2.0
France,7,46.0,2.0
Norway,8,62.0,10.0
Paris,9,48.85341,2.3488
England,10,52.16045,-0.70312
London,11,51.5072648,-0.1278328
London,13,51.5072648,-0.1278328
Shooter's Hill,16,39.83004,-86.18221
London,17,51.5072648,-0.1278328
Paris,18,48.85341,2.3488
London,20,51.5072648,-0.1278328
London,25,51.5072648,-0.1278328
Calais,26,50.9581,1.85205
Concord,27,37.97798,-122.03107
Concord,28,37.97798,-122.03107
Concord,29,37.97798,-122.03107
Concord,30,37.97798,-122.03107
London,32,51.5072648,-0.1278328
London,33,51.5072648,-0.1278328
Paris,34,48.85341,2.3488
France,36,46.0,2.0
London,38,51.5072648,-0.1278328
Turkey,40,39.05901,34.91155
Paris,42,48.85341,2.3488
Paris,43,48.85341,2.3488
France,44,46.0,2.0
London,45,51.5072648,-0.1278328
Paris,46,48.85341,2.3488
England,48,52.16045,-0.70312
Paris,49,48.85341,2.3488
France,50,46.0,2.0
France,51,46.0,2.0
Paris,53,48.85341,2.3488
France,54,46.0,2.0
Paris,55,48.85341,2.3488
Notre-Dame,56,49.48333,1.05
England,61,52.16045,-0.70312
France,62,46.0,2.0
Paris,63,48.85341,2.3488
France,64,46.0,2.0
Abyssinia,66,8.0,38.0
London,68,51.5072648,-0.1278328
Tyburn,70,52.51944,-1.80127
Canada,72,60.10867,-113.64258
North America,73,33.61571,-81.10204
France,74,46.0,2.0
England,75,52.16045,-0.70312
Britain,77,54.75844,-2.69531
Greece,78,39.0,22.0
Rome,79,41.89474,12.4839
Calais,80,50.9581,1.85205
Calais,81,50.9581,1.85205
Calais,82,50.9581,1.85205
Boulogne,83,48.83333,2.25
London,85,51.5072648,-0.1278328
France,87,46.0,2.0
Calais,88,50.9581,1.85205
France,89,46.0,2.0
France,90,46.0,2.0
England,91,52.16045,-0.70312
America,92,39.76,-98.5
England,93,52.16045,-0.70312
London,94,51.5072648,-0.1278328
London,95,51.5072648,-0.1278328
France,97,46.0,2.0
Paris,99,48.85341,2.3488
Sydney,104,-33.86785,151.20732
Sydney,105,-33.86785,151.20732
Sydney,106,-33.86785,151.20732
Sydney,107,-33.86785,151.20732
Sydney,108,-33.86785,151.20732
Sydney,109,-33.86785,151.20732
Sydney,110,-33.86785,151.20732
Sydney,111,-33.86785,151.20732
Sydney,112,-33.86785,151.20732
Sydney,113,-33.86785,151.20732
Shrewsbury,114,52.71009,-2.75208
Shrewsbury,115,52.71009,-2.75208
Paris,116,48.85341,2.3488
Sydney,117,-33.86785,151.20732
Clerkenwell,118,51.52438,-0.11022
London,120,51.5072648,-0.1278328
Paris,122,48.85341,2.3488
Solomon,126,38.91944,-97.37114
London,128,51.5072648,-0.1278328
Clerkenwell,129,51.52438,-0.11022
Clerkenwell,131,51.52438,-0.11022
Paris,132,48.85341,2.3488
France,133,46.0,2.0
France,135,46.0,2.0
France,136,46.0,2.0
England,137,52.16045,-0.70312
Notre Dame,138,49.48333,1.05
Babel,139,45.403,28.67546
Paris,140,48.85341,2.3488
Paris,142,48.85341,2.3488
England,143,52.16045,-0.70312
France,144,46.0,2.0
Bordeaux,145,44.84044,-0.5805
England,146,52.16045,-0.70312
Paris,147,48.85341,2.3488
London,148,51.5072648,-0.1278328
France,149,46.0,2.0
