toponym,offset
AMORY,0
Chicago,1
Lake Geneva,2
Wisconsin,3
Rome,4
England,5
Vienna,6
America,7
Mexico City,8
Newport,9
Mississippi,10
Waldorf,11
Hot Springs,12
"Blaines of Lake
Geneva",13
Pasadena,14
Cape Cod,15
Boston,16
London,17
Chicago,18
"Mother
Church",19
Rome,20
Asheville,21
Asheville,22
Italy,23
Europe,24
America,25
New York,26
Minneapolis,27
Minneapolis,28
Paris,29
Washington,30
United States,31
Minneapolis,32
Minnehaha,33
Minneapolis,34
Minnesota,35
Hennepin,36
Lake Geneva,37
Lake Geneva,38
Minneapolis,39
Connecticut,40
Eton,41
Oxford,42
Hudson,43
New England,44
Andover,45
Exeter,46
New England,47
St. Mark's,48
Groton,49
"St.
Regis",50
Boston,51
"New
York",52
Pomfret,53
St. George's,54
Middle West,55
Pawling,56
Westminster,57
New York,58
Hudson River,59
St. Regis,60
Princeton,61
Princeton,62
Ireland,63
Boston,64
The Hague,65
Minneapolis,66
New York,67
Washington,68
Broadway,69
Astor,70
St. Regis,71
New York,72
Paskert,73
Broadway,74
New York,75
Groton,76
Groton,77
Minneapolis,78
Minneapolis,79
Eastchester,80
Indiana,81
Portland,82
St. Regis,83
Minneapolis,84
America,85
Nassau Street,86
"Nassau
Street",87
Cleveland,88
Lawrenceville,89
Pomfret,90
Lawrenceville,91
New York,92
"New
York",93
Fatimas,94
Pia,95
Pompia,96
Trenton,97
Farmington,98
Marpessa,99
Garden,100
Sudermann,101
Princeton,102
Paris,103
Louisville,104
Memphis,105
Chicago,106
Baltimore,107
Philadelphia,108
Minneapolis,109
Minneapolis,110
Minneapolis,111
Baltimore,112
Minneapolis,113
New York,114
Chicago,115
Louisville,116
Baltimore,117
Baltimore,118
"Nassau
Inn",119
Renwick,120
Asbury Park,121
Princeton,122
Ganymede,123
Asbury,124
Allenhurst,125
Ferrenby,126
Tacoma,127
"New
York",128
Asbury,129
Lukanon,130
East Side,131
Racine,132
New York,133
Philadelphia,134
Fifth Avenue,135
Stony Brook,136
Nassau Street,137
Lawrenceville Road,138
"Lake
Geneva",139
Minneapolis,140
Lawrenceville,141
Amory,142
Lawrenceville,143
New York,144
Princeton,145
Jersey,146
"New
York",147
Long Island,148
Princeton,149
Arabia,150
Princeton,151
Princeton,152
"New
York",153
Minneapolis,154
Lake Geneva,155
Lake Geneva,156
Lake Geneva,157
Northern Pacific,158
Hudson,159
Philistine Princeton,160
"Nassau
Literary Magazine",161
Greenwich Village,162
Broadway,163
Nassau Lit,164
France,165
Summer Garden,166
Findle,167
Broadway,168
Broadway,169
Deviniere,170
New York,171
New York,172
Fifth Avenue,173
Broadway,174
Fifth Avenue,175
"Witherspoon
Hall",176
Nassau Inn,177
Prospect Avenue,178
Burne Holiday,179
United States,180
Princeton,181
Langueduc,182
Amory,183
Washington,184
New York,185
Philadelphia,186
Philadelphia,187
Philadelphia,188
Philadelphia,189
Honolulu,190
Clara,191
Browning,192
Philadelphia,193
Washington,194
America,195
Princeton,196
Tolstoi,197
Belgium,198
Bohemian New York,199
Damascus,200
Pennsylvania,201
Germany,202
Germany,203
"Locksley
Hall",204
Europe,205
Wellington,206
Nassau Hall,207
"Camp
Mills",208
Long Island,209
Rome,210
Princeton,211
Rome,212
Europe,213
Cuchulin,214
Brest,215
Camp Gordon,216
Ga,217
Manhattan,218
Oxford,219
Cambridge,220
U. S. A.,221
Paris,222
Lake Geneva,223
Chicago,224
New York,225
Black Isles,226
"Long
Island",227
AMORY,228
Hartford,229
Cocoanut Grove,230
Lake Geneva,231
Middle West,232
Greenwich Village,233
Italy,234
Westchester County,235
Rye,236
Lethe,237
Biltmore,238
Tyson,239
Cocoanut Grove,240
Yonkers,241
Commodore,242
Bronx,243
Bascome,244
Washington Square,245
Boston,246
Irish Republic,247
Boston,248
Riverside Drive,249
New York,250
Long Island,251
"New
England",252
Italy,253
Spain,254
Riverside Drive,255
Irish Republic,256
Montespan,257
New Jersey,258
Lake Geneva,259
Pershing,260
Ritz,261
Atlantic City,262
East Side,263
America,264
Boston,265
Washington,266
New York,267
Washington,268
"Pennsylvania
Station",269
Washington,270
Maryland,271
Ramilly County,272
Maryland,273
Maryland,274
Ramilly County,275
France,276
Ramilly County,277
Providence,278
Maryland,279
Waikiki,280
France,281
America,282
Maryland,283
Baltimore,284
Baltimore,285
St. Timothy,286
Farmington,287
Canada,288
New York,289
Vienna,290
Atlantic City,291
North Sea,292
Asbury Park,293
New York,294
New York,295
New York,296
New York,297
Rugway,298
"New
Hampshire",299
New York Amory,300
Atlantic City,301
Hartford,302
Connecticut,303
Chicago,304
Philadelphia,305
Atlantic City,306
New York,307
Fifth Avenue,308
Fifth Avenue,309
Lake Geneva,310
New York,311
Minneapolis,312
Riverside Drive,313
Hudson,314
Mexico,315
Castile,316
Shanghai,317
Turkestan,318
Constantinople,319
South Seas,320
Bernhardi,321
Burne,322
Manhattan,323
Newark,324
America,325
Russia,326
France,327
St. Regis,328
Groton,329
France,330
Brooke,331
Rome,332
Princeton,333
United States,334
United States,335
United States,336
United States,337
United States,338
United States,339
"United
States",340
United States,341
Mississippi,342
U.S.,343
"Melan Dr. S.
Fairbanks",344
Salt Lake City,345
UT,346
"United
States",347
United States,348
U.S.,349
U.S.,350
