toponym,offset
Genoa,0
Lucca,1
St. Petersburg,2
Austria,3
Austria,4
Russia,5
Europe,6
England,7
Malta,8
Prussia,9
Europe,10
Europe,11
Prussia,12
Vienna,13
Prussia,14
Petersburg,15
Petersburg,16
Moscow,17
Russia,18
Petersburg,19
Hélène,20
Paris,21
Europe,22
Russia,23
Europe,24
Petersburg,25
Russia,26
Petersburg,27
Moscow,28
Milan,29
Genoa,30
Lucca,31
Russia,32
France,33
Africa,34
Arcola,35
Jaffa,36
Moscow,37
Russia,38
Moscow,39
Moscow,40
Petersburg,41
England,42
Austria,43
china,44
Kurágins,45
Petersburg,46
Kurágin,47
Moscow,48
Bóry,49
Petersburg,50
Moscow,51
Povarskáya,52
Moscow,53
Petersburg,54
Moscow,55
Petersburg,56
Moyka Canal,57
Moscow,58
Petersburg,59
Moscow,60
Natásha,61
Pávlograd Hussars,62
Sónya,63
Sónya,64
Sónya,65
Petersburg,66
Borís,67
Véra,68
Sónya,69
Petersburg,70
Véra,71
Véra,72
Véra,73
Natásha,74
Moscow,75
Petersburg,76
Petersburg,77
Petersburg,78
Borís,79
Moscow,80
Petersburg,81
Petersburg,82
Moscow,83
Moscow,84
Moscow,85
Petersburg,86
England,87
Straits of Dover,88
London,89
Moscow,90
Sparrow Hills,91
Moscow,92
Moscow,93
Moscow,94
Moscow,95
Moscow,96
Petersburg,97
Moscow,98
Shinshín,99
Paris,100
Moscow,101
Natásha,102
Shinshín,103
Berg,104
Borís,105
Sónya,106
Germany,107
Petersburg,108
Austria,109
Russia,110
Europe,111
Brook,112
Sónya,113
Sónya,114
Brook,115
Brook,116
Natásha,117
Márya Dmítrievna,118
Moscow,119
Moscow,120
Petersburg,121
Petersburg,122
Bald Hills,123
Prussia,124
Moscow,125
Bald Hills,126
Moscow,127
Petersburg,128
Europe,129
Moscow,130
Russia,131
Petersburg,132
Russia,133
Moscow,134
Moscow,135
Providence,136
Saviour,137
Bald Hills,138
Tíkhon,139
Spásski Hill,140
Petersburg,141
Prussia,142
Austria,143
Sweden,144
Prussia,145
Stralsund,146
Italy,147
Rhine,148
Naples,149
Europe,150
Pahlen,151
New York,152
America,153
Moscow,154
Austria,155
Russia,156
Braunau,157
Braunau,158
Braunau,159
Russia,160
Vienna,161
Russia,162
Braunau,163
Russia,164
Braunau,165
Ismail,166
Poland,167
Braunau,168
Braunau,169
Austria,170
Petersburg,171
Bolkónski,172
Austria,173
Danube,174
Danube,175
Russia,176
Poland,177
Vienna,178
Petersburg,179
Kozlovski,180
Austria,181
Bolkónski,182
Braunau,183
Salzeneck,184
Poland,185
Morgen,186
Rostóv,187
Telyanin,188
Lavrushka,189
Lavrushka,190
Rostóv,191
Salzeneck,192
Telyanin,193
Telyanin,194
Vienna,195
Telyanin,196
Rostóv,197
Vienna,198
Braunau,199
Traun,200
Linz,201
Danube,202
Danube,203
Danube,204
Rostóv,205
Nesvitski,206
Zherkov,207
Rostóv,208
Zherkov,209
Danube,210
Danube,211
Rostóv,212
Danube,213
Lambach,214
Amstetten,215
Braunau,216
Vienna,217
Vienna,218
Russia,219
Danube,220
Danube,221
Krems,222
Krems,223
Russia,224
Vienna,225
Krems,226
Danube,227
Brunn,228
Petersburg,229
Vienna,230
Paris,231
Copenhagen,232
Vienna,233
Vienna,234
Genoa,235
Russia,236
Vienna,237
Vienna,238
Vienna,239
Schonbrunn,240
Vienna,241
Krems,242
Austria,243
Vienna,244
Vienna,245
Vienna,246
Bohemia,247
Durrenstein,248
Prussia,249
Berlin,250
Prussia,251
Austria,252
Campo Formio,253
Austria,254
Schonbrunn,255
Austria,256
France,257
Prussia,258
Austria,259
Bilibin,260
Vienna,261
London,262
Berlin,263
Vienna,264
Krems,265
Durrenstein,266
Durrenstein,267
Krems,268
Krems,269
Thabor Bridge,270
Vienna,271
Vienna,272
Lannes,273
Thabor Bridge,274
Danube,275
Toulon,276
Olmutz,277
Krems,278
Mack,279
Znaim,280
Kozlovski,281
Kutúzov,282
Vienna,283
Krems,284
Vienna,285
Russia,286
Krems,287
Russia,288
Bohemian mountains,289
Krems,290
Olmutz,291
Russia,292
Vienna,293
Vienna,294
Znaim,295
Vienna,296
Krems,297
Znaim,298
Krems-Znaim,299
Vienna-Znaim,300
Vienna,301
Hollabrunn,302
Hollabrunn,303
Vienna,304
Hollabrunn,305
Vienna,306
Znaim,307
Vienna,308
Krems-Znaim,309
Schonbrunn,310
Hollabrunn,311
Russia,312
Russia,313
Vienna,314
Kutúzov,315
Grunth,316
Znaim,317
Grunth,318
Kiev,319
Kaska,320
Schon Grabern,321
Kiev,322
Podolsk,323
Grunth,324
Toulon,325
"Prince
Bagration",326
Tushin,327
Italy,328
Schon Grabern,329
Kiev,330
Kiev,331
Braunau,332
Podolsk,333
Braunau,334
Lannes,335
Timokhin,336
Tushin,337
Grunth,338
Tushin,339
Tushin,340
Tushin,341
Tushin,342
Gruntersdorf,343
Tushin,344
Braunau,345
Zherkov,346
Tushin,347
Tushin,348
Tushin,349
Moscow,350
Moscow,351
Moscow,352
Petersburg,353
Ryazan,354
Ryazan,355
Petersburg,356
Moscow,357
Moscow,358
Petersburg,359
Prince Vasíli,360
Berlin,361
Potsdam,362
Hélène,363
Hélène,364
Hélène,365
Prince Vasíli,366
Prince Vasíli,367
Hélène,368
Petersburg,369
Paris,370
Moscow,371
Hélène,372
Hélène,373
Hélène,374
Petersburg,375
Bald Hills,376
"Bald
Hills",377
Másha,378
Petersburg,379
Paris,380
Paris,381
Paris,382
Bourienne,383
Bald Hills,384
Potsdam,385
Paris,386
Bourienne,387
Nikolenka,388
Nikolenka,389
Sónya,390
Sónya,391
Sónya,392
Nikolenka,393
Sónya,394
Pétya,395
Nikolenka,396
Borís,397
Pétya,398
Sónya,399
Russia,400
Olmutz,401
Olmutz,402
Borís,403
Olmutz,404
Olmutz,405
Borís,406
St. George,407
Poland,408
Berg,409
Russia,410
Poland,411
Siberia,412
Berg,413
Rostóv,414
Borís,415
Rostóv,416
Borís,417
Bolkónski,418
Borís,419
Russia,420
Russia,421
Essen,422
Prussia,423
Olmutz,424
Olmutz,425
Olmutz,426
Paris,427
Borís,428
Prince Bagration,429
Wischau,430
Wischau,431
Schon Grabern,432
Wischau,433
Wischau,434
Wischau,435
Austerlitz,436
Bilibin,437
Ostralitz,438
Kutúzov,439
Kobelnitz,440
Sokolnitz,441
Kobelnitz,442
Schlappanitz,443
Thuerassa,444
Langeron,445
Toulon,446
Moscow,447
Tverskaya Street,448
Hollabrunn,449
England,450
France,451
Moscow,452
Goldbach Stream,453
Pratzen Heights,454
Schlappanitz,455
Sokolnitz,456
Schlappanitz,457
Pratzen Heights,458
Pratzen,459
Pratzen,460
Pratzen Heights,461
Pratzen Heights,462
Langeron,463
Pratzen,464
Toulon,465
Arcola,466
Pratzen,467
Olmutz,468
Novosíltsev,469
Russia,470
