toponym,offset,latitude,longitude
Genoa,0,44.40632,8.93386
Lucca,1,43.84357,10.50585
St. Petersburg,2,59.89444,30.26417
Austria,3,47.33333,13.33333
Austria,4,47.33333,13.33333
Russia,5,60.0,100.0
England,7,52.16045,-0.70312
Vienna,13,48.20849,16.37208
Petersburg,15,59.89444,30.26417
Petersburg,16,59.89444,30.26417
Moscow,17,55.75,37.5
Russia,18,60.0,100.0
Petersburg,19,59.89444,30.26417
Paris,21,48.85341,2.3488
Russia,23,60.0,100.0
Petersburg,25,59.89444,30.26417
Russia,26,60.0,100.0
Petersburg,27,59.89444,30.26417
Moscow,28,55.75,37.5
Milan,29,45.46427,9.18951
Genoa,30,44.40632,8.93386
Lucca,31,43.84357,10.50585
Russia,32,60.0,100.0
France,33,46.0,2.0
Africa,34,35.50472,11.06222
Arcola,35,44.11854,9.91269
Moscow,37,55.75,37.5
Russia,38,60.0,100.0
Moscow,39,55.75,37.5
Moscow,40,55.75,37.5
Petersburg,41,59.89444,30.26417
England,42,52.16045,-0.70312
Austria,43,47.33333,13.33333
china,44,35.0,105.0
Petersburg,46,59.89444,30.26417
Moscow,48,55.75,37.5
Petersburg,50,59.89444,30.26417
Moscow,51,55.75,37.5
Moscow,53,55.75,37.5
Petersburg,54,59.89444,30.26417
Moscow,55,55.75,37.5
Petersburg,56,59.89444,30.26417
Moscow,58,55.75,37.5
Petersburg,59,59.89444,30.26417
Moscow,60,55.75,37.5
Petersburg,66,59.89444,30.26417
Petersburg,70,59.89444,30.26417
Moscow,75,55.75,37.5
Petersburg,76,59.89444,30.26417
Petersburg,77,59.89444,30.26417
Petersburg,78,59.89444,30.26417
Moscow,80,55.75,37.5
Petersburg,81,59.89444,30.26417
Petersburg,82,59.89444,30.26417
Moscow,83,55.75,37.5
Moscow,84,55.75,37.5
Moscow,85,55.75,37.5
Petersburg,86,59.89444,30.26417
England,87,52.16045,-0.70312
London,89,51.5072648,-0.1278328
Moscow,90,55.75,37.5
Moscow,92,55.75,37.5
Moscow,93,55.75,37.5
Moscow,94,55.75,37.5
Moscow,95,55.75,37.5
Moscow,96,55.75,37.5
Petersburg,97,59.89444,30.26417
Moscow,98,55.75,37.5
Paris,100,48.85341,2.3488
Moscow,101,55.75,37.5
Germany,107,51.5,10.5
Petersburg,108,59.89444,30.26417
Austria,109,47.33333,13.33333
Russia,110,60.0,100.0
Brook,112,40.86643,-87.36364
Brook,115,40.86643,-87.36364
Brook,116,40.86643,-87.36364
Moscow,119,55.75,37.5
Moscow,120,55.75,37.5
Petersburg,121,59.89444,30.26417
Petersburg,122,59.89444,30.26417
Moscow,125,55.75,37.5
Moscow,127,55.75,37.5
Petersburg,128,59.89444,30.26417
Moscow,130,55.75,37.5
Russia,131,60.0,100.0
Petersburg,132,59.89444,30.26417
Russia,133,60.0,100.0
Moscow,134,55.75,37.5
Moscow,135,55.75,37.5
Petersburg,141,59.89444,30.26417
Austria,143,47.33333,13.33333
Sweden,144,62.0,15.0
Stralsund,146,54.30911,13.0818
Italy,147,42.83333,12.83333
Rhine,148,31.98962,-83.20015
Naples,149,40.83333,14.25
Pahlen,151,54.26667,9.3
New York,152,40.714269,-74.005973
America,153,39.76,-98.5
Moscow,154,55.75,37.5
Austria,155,47.33333,13.33333
Russia,156,60.0,100.0
Braunau,157,48.25628,13.04343
Braunau,158,48.25628,13.04343
Braunau,159,48.25628,13.04343
Russia,160,60.0,100.0
Vienna,161,48.20849,16.37208
Russia,162,60.0,100.0
Braunau,163,48.25628,13.04343
Russia,164,60.0,100.0
Braunau,165,48.25628,13.04343
Ismail,166,45.34929,28.84079
Poland,167,52.0,20.0
Braunau,168,48.25628,13.04343
Braunau,169,48.25628,13.04343
Austria,170,47.33333,13.33333
Petersburg,171,59.89444,30.26417
Austria,173,47.33333,13.33333
Danube,174,44.7919,-95.09722
Danube,175,44.7919,-95.09722
Russia,176,60.0,100.0
Poland,177,52.0,20.0
Vienna,178,48.20849,16.37208
Petersburg,179,59.89444,30.26417
Austria,181,47.33333,13.33333
Braunau,183,48.25628,13.04343
Poland,185,52.0,20.0
Vienna,195,48.20849,16.37208
Vienna,198,48.20849,16.37208
Braunau,199,48.25628,13.04343
Traun,200,48.22656,14.23459
Linz,201,48.30639,14.28611
Danube,202,44.7919,-95.09722
Danube,203,44.7919,-95.09722
Danube,204,44.7919,-95.09722
Danube,210,44.7919,-95.09722
Danube,211,44.7919,-95.09722
Danube,213,44.7919,-95.09722
Amstetten,215,48.1229,14.87206
Braunau,216,48.25628,13.04343
Vienna,217,48.20849,16.37208
Vienna,218,48.20849,16.37208
Russia,219,60.0,100.0
Danube,220,44.7919,-95.09722
Danube,221,44.7919,-95.09722
Krems,222,48.40921,15.61415
Krems,223,48.40921,15.61415
Russia,224,60.0,100.0
Vienna,225,48.20849,16.37208
Krems,226,48.40921,15.61415
Danube,227,44.7919,-95.09722
Brunn,228,49.19522,16.60796
Petersburg,229,59.89444,30.26417
Vienna,230,48.20849,16.37208
Paris,231,48.85341,2.3488
Copenhagen,232,55.67594,12.56553
Vienna,233,48.20849,16.37208
Vienna,234,48.20849,16.37208
Genoa,235,44.40632,8.93386
Russia,236,60.0,100.0
Vienna,237,48.20849,16.37208
Vienna,238,48.20849,16.37208
Vienna,239,48.20849,16.37208
Vienna,241,48.20849,16.37208
Krems,242,48.40921,15.61415
Austria,243,47.33333,13.33333
Vienna,244,48.20849,16.37208
Vienna,245,48.20849,16.37208
Vienna,246,48.20849,16.37208
Bohemia,247,40.76926,-73.11511
Austria,252,47.33333,13.33333
Austria,254,47.33333,13.33333
Austria,256,47.33333,13.33333
France,257,46.0,2.0
Austria,259,47.33333,13.33333
Vienna,261,48.20849,16.37208
London,262,51.5072648,-0.1278328
Vienna,264,48.20849,16.37208
Krems,265,48.40921,15.61415
Krems,268,48.40921,15.61415
Krems,269,48.40921,15.61415
Vienna,271,48.20849,16.37208
Vienna,272,48.20849,16.37208
Danube,275,44.7919,-95.09722
Toulon,276,43.11667,5.93333
Olmutz,277,49.59552,17.25175
Krems,278,48.40921,15.61415
Mack,279,39.15811,-84.64967
Znaim,280,48.8555,16.0488
Vienna,283,48.20849,16.37208
Krems,284,48.40921,15.61415
Vienna,285,48.20849,16.37208
Russia,286,60.0,100.0
Krems,287,48.40921,15.61415
Russia,288,60.0,100.0
Krems,290,48.40921,15.61415
Olmutz,291,49.59552,17.25175
Russia,292,60.0,100.0
Vienna,293,48.20849,16.37208
Vienna,294,48.20849,16.37208
Znaim,295,48.8555,16.0488
Vienna,296,48.20849,16.37208
Krems,297,48.40921,15.61415
Znaim,298,48.8555,16.0488
Vienna,301,48.20849,16.37208
Hollabrunn,302,48.55,16.08333
Hollabrunn,303,48.55,16.08333
Vienna,304,48.20849,16.37208
Hollabrunn,305,48.55,16.08333
Vienna,306,48.20849,16.37208
Znaim,307,48.8555,16.0488
Vienna,308,48.20849,16.37208
Hollabrunn,311,48.55,16.08333
Russia,312,60.0,100.0
Russia,313,60.0,100.0
Vienna,314,48.20849,16.37208
Znaim,317,48.8555,16.0488
Kiev,319,50.45466,30.5238
Kiev,322,50.45466,30.5238
Podolsk,323,55.42418,37.55472
Toulon,325,43.11667,5.93333
Italy,328,42.83333,12.83333
Kiev,330,50.45466,30.5238
Kiev,331,50.45466,30.5238
Braunau,332,48.25628,13.04343
Podolsk,333,55.42418,37.55472
Braunau,334,48.25628,13.04343
Braunau,345,48.25628,13.04343
Moscow,350,55.75,37.5
Moscow,351,55.75,37.5
Moscow,352,55.75,37.5
Petersburg,353,59.89444,30.26417
Ryazan,354,54.6269,39.6916
Ryazan,355,54.6269,39.6916
Petersburg,356,59.89444,30.26417
Moscow,357,55.75,37.5
Moscow,358,55.75,37.5
Petersburg,359,59.89444,30.26417
Petersburg,369,59.89444,30.26417
Paris,370,48.85341,2.3488
Moscow,371,55.75,37.5
Petersburg,375,59.89444,30.26417
Petersburg,379,59.89444,30.26417
Paris,380,48.85341,2.3488
Paris,381,48.85341,2.3488
Paris,382,48.85341,2.3488
Paris,386,48.85341,2.3488
Russia,400,60.0,100.0
Olmutz,401,49.59552,17.25175
Olmutz,402,49.59552,17.25175
Olmutz,404,49.59552,17.25175
Olmutz,405,49.59552,17.25175
St. George,407,8.484,-13.22994
Poland,408,52.0,20.0
Russia,410,60.0,100.0
Poland,411,52.0,20.0
Siberia,412,9.54944,-83.71296
Russia,420,60.0,100.0
Russia,421,60.0,100.0
Essen,422,51.45657,7.01228
Olmutz,424,49.59552,17.25175
Olmutz,425,49.59552,17.25175
Olmutz,426,49.59552,17.25175
Paris,427,48.85341,2.3488
Wischau,430,49.27747,16.99897
Wischau,431,49.27747,16.99897
Wischau,433,49.27747,16.99897
Wischau,434,49.27747,16.99897
Wischau,435,49.27747,16.99897
Austerlitz,436,49.15325,16.87649
Sokolnitz,441,49.11392,16.72156
Langeron,445,46.81067,3.08409
Toulon,446,43.11667,5.93333
Moscow,447,55.75,37.5
Hollabrunn,449,48.55,16.08333
England,450,52.16045,-0.70312
France,451,46.0,2.0
Moscow,452,55.75,37.5
Sokolnitz,456,49.11392,16.72156
Langeron,463,46.81067,3.08409
Toulon,465,43.11667,5.93333
Arcola,466,44.11854,9.91269
Olmutz,468,49.59552,17.25175
Russia,470,60.0,100.0
Petersburg,476,59.89444,30.26417
Augesd Dam,482,33.5102,36.29128
Petersburg,485,59.89444,30.26417
Voronezh,489,51.67204,39.1843
Moscow,490,55.75,37.5
Moscow,491,55.75,37.5
Moscow,492,55.75,37.5
Moscow,493,55.75,37.5
Moscow,494,55.75,37.5
Moscow,501,55.75,37.5
Moscow,503,55.75,37.5
Moscow,504,55.75,37.5
St. George,505,8.484,-13.22994
Moscow,506,55.75,37.5
Moscow,507,55.75,37.5
Moscow,508,55.75,37.5
Moscow,511,55.75,37.5
Moscow,512,55.75,37.5
Moscow,513,55.75,37.5
Petersburg,515,59.89444,30.26417
Austerlitz,517,49.15325,16.87649
Moscow,518,55.75,37.5
Moscow,519,55.75,37.5
Austerlitz,520,49.15325,16.87649
Moscow,521,55.75,37.5
Moscow,522,55.75,37.5
Austerlitz,523,49.15325,16.87649
Petersburg,524,59.89444,30.26417
Moscow,525,55.75,37.5
Moscow,527,55.75,37.5
Moscow,531,55.75,37.5
Petersburg,532,59.89444,30.26417
Moscow,533,55.75,37.5
Kostroma,536,57.76647,40.92686
Moscow,539,55.75,37.5
Moscow,540,55.75,37.5
Moscow,541,55.75,37.5
Petersburg,542,59.89444,30.26417
Moscow,543,55.75,37.5
Petersburg,544,59.89444,30.26417
Petersburg,545,59.89444,30.26417
Moscow,546,55.75,37.5
Great Russia,547,60.0,100.0
Petersburg,548,59.89444,30.26417
Austerlitz,549,49.15325,16.87649
Austerlitz,551,49.15325,16.87649
Russia,553,60.0,100.0
Austria,554,47.33333,13.33333
Moscow,555,55.75,37.5
Moscow,557,55.75,37.5
Moscow,558,55.75,37.5
Moscow,559,55.75,37.5
Moscow,561,55.75,37.5
Moscow,562,55.75,37.5
Petersburg,563,59.89444,30.26417
Moscow,564,55.75,37.5
Moscow,565,55.75,37.5
Moscow,571,55.75,37.5
Moscow,572,55.75,37.5
Moscow,576,55.75,37.5
Poland,578,52.0,20.0
Poland,579,52.0,20.0
Moscow,585,55.75,37.5
Moscow,586,55.75,37.5
Moscow,589,55.75,37.5
Moscow,590,55.75,37.5
Moscow,591,55.75,37.5
Poland,592,52.0,20.0
Petersburg,593,59.89444,30.26417
Torzhok,594,57.0436,34.96221
Petersburg,595,59.89444,30.26417
Moscow,598,55.75,37.5
Mason,599,39.36006,-84.30994
Petersburg,600,59.89444,30.26417
Petersburg,601,59.89444,30.26417
Petersburg,602,59.89444,30.26417
Lodge,603,33.06794,-80.95371
Petersburg,604,59.89444,30.26417
Lodge,605,33.06794,-80.95371
Petersburg,606,59.89444,30.26417
Moscow,607,55.75,37.5
Moscow,608,55.75,37.5
Kiev,609,50.45466,30.5238
Russia,610,60.0,100.0
Petersburg,611,59.89444,30.26417
Petersburg,612,59.89444,30.26417
Petersburg,613,59.89444,30.26417
Vienna,616,48.20849,16.37208
Austria,618,47.33333,13.33333
Copenhagen,619,55.67594,12.56553
Olmutz,621,49.59552,17.25175
Petersburg,622,59.89444,30.26417
Moscow,623,55.75,37.5
